"","target_child_id","tokens","corpus_name"
"1",1754,26,"PetersonMcCabe"
"2",1999,55,"Hall"
"3",2006,26,"Hall"
"4",2007,127,"Hall"
"5",2020,13,"Hall"
"6",2040,28,"Hall"
"7",2053,40,"Hall"
"8",2065,31,"Hall"
"9",2077,14,"Hall"
"10",2091,19,"Hall"
"11",2108,12,"Hall"
"12",2112,12,"Hall"
"13",2127,12,"Hall"
"14",2130,11,"Hall"
"15",2141,24,"Hall"
"16",2172,28,"Hall"
"17",2187,22,"Hall"
"18",2202,62,"Hall"
"19",2220,29,"Hall"
"20",2234,28,"Hall"
"21",2249,13,"Hall"
"22",2264,15,"Hall"
"23",2279,30,"Hall"
"24",2291,50,"Hall"
"25",2302,21,"Hall"
"26",2315,36,"Hall"
"27",2316,43,"Hall"
"28",2317,19,"Hall"
"29",2319,28,"Hall"
"30",2328,18,"Hall"
"31",2377,26,"Hall"
"32",2399,36,"Hall"
"33",2400,26,"Hall"
"34",2402,39,"Hall"
"35",2405,21,"Hall"
"36",2489,1,"VanKleeck"
"37",2512,1,"VanKleeck"
"38",2529,12,"Gopnik"
"39",2543,100,"Kuczaj"
"40",2564,4,"Gleason"
"41",2568,2,"Gleason"
"42",2575,7,"Gleason"
"43",2582,3,"Gleason"
"44",2591,25,"Gleason"
"45",2597,4,"Gleason"
"46",2622,6,"Gleason"
"47",2632,13,"Gleason"
"48",2643,7,"Gleason"
"49",2725,158,"HSLLD"
"50",2787,1,"HSLLD"
"51",2865,1,"HSLLD"
"52",3057,23,"Gelman"
"53",3330,174,"Brown"
"54",3351,119,"Brown"
"55",3395,7,"MacWhinney"
"56",3459,2,"Warren"
"57",3468,2,"Warren"
"58",3906,17,"Braunwald"
"59",3940,21,"Sachs"
"60",3978,23,"Weist"
"61",3985,21,"Weist"
"62",4001,73,"Weist"
"63",4011,37,"Weist"
"64",4019,5,"Weist"
"65",5503,2,"Bliss"
"66",5516,3,"Bliss"
"67",22728,1,"Providence"
