stem,form,unique_stems
same,same,
hug,hug,
hug,hugs,
hug,hugging,
hug,hugged,
agree,agree,
agree,agreed,
agree,agreeing,
agree,agrees,
friend,friend,
friend,friends,
friend,friended,
marry,marry,
marry,marries,
marry,married,
marry,marrying,
connect,connect,
connect,connected,
connect,connects,
connect,connecting,
equal,equal,
equal,equaling,
equal,equaled,
equal,equals,
disagree,disagree,
disagree,disagreed,
disagree,disagreeing,
touch,touch,
touch,touches,
touch,touched,
touch,touching,
similar,similar,
trade,trade,
trade,trading,
trade,trades,
trade,traded,
match,match,
match,matches,
match,matched,
match,matching,
argue,argue,
argue,argued,
argue,arguing,
argue,argues,
chat,chat,
chat,chatting,
chat,chats,
chat,chatted,
fight,fight,
fight,fighting,
fight,fought,
fight,fights,
bump,bump,
bump,bumped,
bump,bumps,
bump,bumping,
combine,combine,
combine,combining,
combine,combines,
combine,combined,
kiss,kiss,
kiss,kisses,
kiss,kissed,
kiss,kissing,
compete,compete,
compete,competing,
compete,competes,
compete,competed,
differ,differ,
differ,differed,
differ,differs,
differ,differing,
separate,separate,
separate,separated,
separate,separates,
separate,separating,
meet,meet,
meet,met,
meet,meeting,
meet,meets,
split,split,
split,splitting,
split,splits,
attach,attach,
attach,attaching,
attach,attached,
attach,attaches,
join,join,
join,joins,
join,joined,
join,joining,
share,share,
share,shared,
share,sharing,
share,shares,
cooperate,cooperate,
cooperate,cooperated,
cooperate,cooperating,
cooperate,cooperates,
crash,crash,
crash,crashed,
crash,crashing,
crash,crashes,
rhyme,rhyme,
rhyme,rhymes,
rhyme,rhymed,
rhyme,rhyming,
