"","id","target_child_id","target_child_age","gloss","stem","type","part_of_speech","corpus_name","speaker_role","utterance_order"
"1",377087,1741,36.4278527279821,"we're gonna give it back t to Marianne","we go give it back to Marianne","declarative","pro:sub part v pro:per adv prep n:prop","Clark","Target_Child",53
"2",377126,1741,36.4278527279821,"yeah and den after our truck will give dem back to Marianne","yeah and den after our truck will give them back to Marianne","declarative","co coord n prep det:poss n mod v pro:obj adv prep n:prop","Clark","Target_Child",57
"3",378238,1754,48.0009856465225,"I go the other doctor and they don't give me any shots","I go the other doctor and they do give me any shot","declarative","pro:sub v det:art qn n coord pro:sub mod v pro:obj qn n","PetersonMcCabe","Target_Child",142
"4",378249,1754,48.0009856465225,"and they and the Mandy's dog gave me a bush and when I went outside","and Mandy dog give me a bush when I go outside","declarative","coord adj n v pro:obj det:art n conj pro:sub v adv","PetersonMcCabe","Target_Child",144
"5",378315,1754,48.0009856465225,"so my so I went to the doctor and and he gave me b a um a","so I go to the doctor and he give me b a a","declarative","co pro:sub v prep det:art n coord pro:sub v pro:obj n:let n:let n:let","PetersonMcCabe","Target_Child",158
"6",378319,1754,48.0009856465225,"huh they'll give me some candy","they give me some candy","declarative","pro:sub v pro:obj qn n","PetersonMcCabe","Target_Child",139
"7",378366,1754,48.0009856465225,"she had she went to the doctor so I my dad gave me spanking and I","she go to the doctor so my dad give me spank and I","trail off","pro:sub v prep det:art n co det:poss n v pro:obj part coord pro:sub","PetersonMcCabe","Target_Child",168
"8",378501,1754,48.0009856465225,"and I told my mommy to give me the Snoopy and it flies","and I tell my mommy to give me the Snoopy and it fly","declarative","coord pro:sub v det:poss n inf v pro:obj det:art n:prop coord pro:per v","PetersonMcCabe","Target_Child",210
"9",380583,1754,48.0009856465225,"uhhuh and then then the hospital uh man gave her a cast","uhhuh and then the hospital man give her a cast","declarative","co coord adv:tem det:art n n v pro:obj det:art n","PetersonMcCabe","Target_Child",42
"10",380736,1754,48.0009856465225,"the doctor gave me two sticks in my mouth","the doctor give me two stick in my mouth","declarative","det:art n v pro:obj det:num n prep det:poss n","PetersonMcCabe","Target_Child",39
"11",380944,1754,48.0009856465225,"yeah he gives me a ride","yeah he give me a ride","trail off","co pro:sub v pro:obj det:art n","PetersonMcCabe","Target_Child",37
"12",382018,1741,36.6578369165691,"and he and he give me to take dem off but I nee I need tuh take dem off by myself","and he give me to take them off but I need to take them off by myself","declarative","coord pro:sub v pro:obj inf v pro:obj adv conj pro:sub v inf v pro:obj adv prep pro:refl","Clark","Target_Child",51
"13",383999,1754,48.0009856465225,"they a they gave me something up here where I got a bump","they give me something up here where I get a bump","declarative","pro:sub v pro:obj pro:indef prep n pro:rel pro:sub v det:art n","PetersonMcCabe","Target_Child",16
"14",384268,1754,48.0009856465225,"gave me a big shot","give me a big shot","declarative","v pro:obj det:art adj n","PetersonMcCabe","Target_Child",90
"15",384272,1754,48.0009856465225,"he gave me a big hole in my whole arm","he give me a big hole in my whole arm","declarative","pro:sub v pro:obj det:art adj n prep det:poss adj n","PetersonMcCabe","Target_Child",91
"16",384283,1754,48.0009856465225,"he gave me a","he give me a","self interruption","pro:sub v pro:obj det:art","PetersonMcCabe","Target_Child",94
"17",384295,1754,48.0009856465225,"and he gave me a pool a play shoot","and he give me a play shoot","declarative","coord pro:sub v pro:obj det:art n n","PetersonMcCabe","Target_Child",97
"18",394631,1741,37.1650341896137,"I think I hafta give this to Amanda a a somebody dat's having s a I think I'm having a party","I think I have give this to Amanda a a somebody that I think I have a party","declarative","pro:sub v pro:sub mod v det:dem inf n:prop det:art det:art pro:indef pro:rel pro:sub v pro:sub part det:art n","Clark","Target_Child",1019
"19",394661,1741,37.1650341896137,"I haf I somebody hasta give dis to me","I somebody have give this to me","declarative","pro:sub pro:indef mod v det:dem inf pro:obj","Clark","Target_Child",1022
"20",504981,2007,57.0011704552455,"it doesn't give us a cold","it do give us a cold","declarative","pro:per mod v pro:obj det:art n","Hall","Target_Child",116
"21",505089,2020,57.0011704552455,"somebody gave them out","somebody give them out","declarative","pro:indef v pro:obj adv","Hall","Target_Child",69
"22",505141,2007,57.0011704552455,"give it to me","give it to me","declarative","v pro:per prep pro:obj","Hall","Target_Child",157
"23",505423,1999,57.0011704552455,"uh I don't know I give up","I do know I give up","declarative","pro:sub mod v pro:sub v adv","Hall","Target_Child",544
"24",505912,2007,57.0011704552455,"I give you the dishes","I give you the dish","declarative","pro:sub v pro:per det:art n","Hall","Target_Child",315
"25",507024,2007,57.0011704552455,"it gives me a hard time","it give me a hard time","declarative","pro:per v pro:obj det:art adj n","Hall","Target_Child",501
"26",508433,2187,57.0011704552455,"who gave you gum","who give you gum","question","pro:int v pro:per v","Hall","Target_Child",80
"27",508441,2187,57.0011704552455,"who gave you gum","who give you gum","question","pro:int v pro:per v","Hall","Target_Child",81
"28",509396,2108,57.0011704552455,"I'm not giving you nothing","I not give you nothing","declarative","pro:sub neg part pro:per pro:indef","Hall","Target_Child",339
"29",509468,2187,57.0011704552455,"give me dat","give me that","declarative","v pro:obj pro:dem","Hall","Target_Child",183
"30",509608,2202,57.0011704552455,"I saw they gave you the the old one two the old one two","I saw they give you the the old one two the old one two","declarative","pro:sub n pro:sub v pro:per det:art det:art adj det:num det:num det:art adj det:num det:num","Hall","Target_Child",107
"31",509623,2202,57.0011704552455,"I saw they gave you the old one two","I saw they give you the old one two","declarative","pro:sub n pro:sub v pro:per det:art adj det:num det:num","Hall","Target_Child",108
"32",509808,2202,57.0011704552455,"Ma gimuhm Ma give me another coat with the hood on it","Ma give me another coat with the hood on it","declarative","n:prop v pro:obj qn n prep det:art n prep pro:per","Hall","Target_Child",124
