"","id","target_child_id","gloss","stem","type","part_of_speech","corpus_name","speaker_role","utterance_order"
"1",376594,1741,"just pull that","just pull that","declarative","adv v pro:dem","Clark","Target_Child",6
"2",376893,1741,"we c we gonna take keep evryfing in dis house and den we gonna get a dose fings outside and den we gonna um to get a truck and den we gonna pull it and den it will be our trailer","we we go keep everything in this house and den we go get those thing outside and den we to get a truck and den we go pull it and den it will be our trailer","imperative_emphatic","pro:sub pro:sub part v pro:indef prep det:dem n coord n pro:sub part v det:dem n adv coord n pro:sub inf v det:art n coord n pro:sub part v pro:per coord n pro:per mod cop det:poss n","Clark","Target_Child",34
"3",376998,1741,"yep yeah yeah I will take you in dis house and den we'll have a truck to pull it and den we'll um take evryfing dat we need for our trip","yeah yeah I will take you in this house and den we have a truck to pull it and den take everything that we need for our trip","declarative","co co pro:sub mod v pro:per prep det:dem n coord n pro:sub v det:art n inf v pro:per coord n v pro:indef pro:rel pro:sub v prep det:poss n","Clark","Target_Child",44
"4",377380,1741,"you pull dem out and put dem in dat machine and wait for it to come out","you pull them out and put them in that machine and wait for it to come out","declarative","pro:per v pro:obj adv coord v pro:obj prep det:dem n coord v prep pro:per inf v adv","Clark","Target_Child",78
"5",377489,1754,"yeah and I and I and I bumped myself that day uh uh my bathroom and my mom wasn't watching out","yeah and I bump myself that day my and my mom be watch out","declarative","co coord pro:sub v pro:refl det:dem n det:poss coord det:poss n aux part adv","PetersonMcCabe","Target_Child",1
"6",377935,1754,"yeah my grandma bought them for me","yeah my ma buy them for me","declarative","co det:poss n v pro:obj prep pro:obj","PetersonMcCabe","Target_Child",42
"7",377993,1754,"and and the goat licked me","and the goat lick me","declarative","coord det:art n v pro:obj","PetersonMcCabe","Target_Child",62
"8",378064,1754,"then then I was then I was picking up the up the up the the the milk and then I was going downstairs to to hang on to it and then I spilled some of the milk","then I be pick up the milk and then I be go downstairs to hang on to it and then I spill some of the milk","declarative","adv:tem pro:sub aux part prep det:art n coord adv:tem pro:sub aux part adv inf v adv prep pro:per coord adv:tem pro:sub part qn prep det:art n","PetersonMcCabe","Target_Child",23
"9",378180,1754,"my dad use to hold me on top","my dad use to hold me on top","declarative","det:poss n n inf v pro:obj prep n","PetersonMcCabe","Target_Child",30
"10",378298,1754,"yeah I walk him around in the house and they always say I bit him he I he always doesn't follow me","yeah I walk him around in the house and they always say I bite him he I he always do follow me","declarative","co pro:sub v pro:obj adv prep det:art n coord pro:sub adv v pro:sub v pro:obj pro:sub pro:sub pro:sub adv mod v pro:obj","PetersonMcCabe","Target_Child",49
"11",378457,1754,"I bumped my head on the railing","I bump my head on the railing","declarative","pro:sub v det:poss n prep det:art n","PetersonMcCabe","Target_Child",82
"12",378474,1754,"and then I punched it","and then I punch it","declarative","coord adv:tem pro:sub v pro:per","PetersonMcCabe","Target_Child",86
"13",378499,1754,"I told my dad and mommy I bumped it a little know bumped it","I tell my dad and mommy I bump it a little know bump it","declarative","pro:sub v det:poss n coord n pro:sub v pro:per det:art adj v part pro:per","PetersonMcCabe","Target_Child",92
"14",378513,1754,"um well when did wha one of my pretend doggies bumped it","well when do one of my pretend dog bump it","declarative","co pro:rel v pro:indef prep det:poss adj n v pro:per","PetersonMcCabe","Target_Child",96
"15",378535,1754,"she pulled the thing off of me","she pull the thing off of me","declarative","pro:sub v det:art n adv prep pro:obj","PetersonMcCabe","Target_Child",104
"16",378540,1754,"and so so somebody somebody somebody taked us home and drived us to our home and then we were happy so we so we so they keeped one so we hadta fix that and we hadta tie it and then we hadta carry hadta hang two of them on onto to the to the car station and and","and so somebody take us home and drive us to our home and then we be happy so they keep one so we have fix that and we have tie it and then we have hang two of them to the car station and","trail off","coord adv pro:indef v pro:obj adv coord v pro:obj prep det:poss n coord adv:tem pro:sub cop adj conj pro:sub v det:num conj pro:sub mod v pro:dem coord pro:sub mod v pro:per coord adv:tem pro:sub mod v det:num prep pro:obj prep det:art n n coord","PetersonMcCabe","Target_Child",149
"17",378545,1754,"did you buy this paint or not","do you buy this paint or not","question","mod pro:per v det:dem n coord neg","PetersonMcCabe","Target_Child",108
"18",378549,1754,"we bought our paint set we bought our paints a long time ago and got out at the area","we buy our paint set we buy our paint a long time ago and get out at the area","declarative","pro:sub v det:poss n v pro:sub v det:poss n det:art adj n post coord v adv prep det:art n","PetersonMcCabe","Target_Child",110
"19",378710,1754,"and then know what she did Sally did she went and put her neck in the doc and the doctor hadta check her neck and you know what happened","and then know what she do Sally do she go and put her neck in the doc and the doctor have check her neck and you know what happen","question","coord adv:tem v pro:int pro:sub mod n:prop mod pro:sub v coord part det:poss n prep det:art n coord det:art n mod v det:poss n coord pro:per v pro:int v","PetersonMcCabe","Target_Child",187
"20",378729,1754,"and they got one of them things you tie on your back and then you can sleep with them and go outside with them too","and they get one of them thing you tie on your back and then you can sleep with them and go outside with them too","declarative","coord pro:sub v det:num prep pro:obj n pro:per v prep det:poss adv coord adv:tem pro:per mod v prep pro:obj coord v adv prep pro:obj post","PetersonMcCabe","Target_Child",16
"21",379062,1741,"but I I gonna invite dem to my house to have duh party wif me","but I go invite them to my house to have the party wife me","declarative","conj pro:sub part v pro:obj prep det:poss n inf v det:art n n pro:obj","Clark","Target_Child",151
"22",379238,1754,"but he pe but he bites my pantyhose all the time","but he bite my all the time","declarative","conj pro:sub v det:poss qn det:art n","PetersonMcCabe","Target_Child",57
"23",379368,1754,"and that's the time when I comed in and he bite my pantyhose","and that the time when I come in and he bite my","declarative","coord pro:dem det:art n conj pro:sub v adv coord pro:sub v det:poss","PetersonMcCabe","Target_Child",67
"24",379689,1741,"dat's I wanna make fingerpwints so I c I can remember when when when we can make buy some fingerpwints","I want make so I can remember when we can buy some","declarative","pro:sub v v conj pro:sub mod v conj pro:sub mod v qn","Clark","Target_Child",196
"25",379790,1741,"yeah no no dat's so we can remember to buy some fingerpwints","yeah no no that so we can remember to buy some","trail off","co co co pro:dem conj pro:sub mod v inf v qn","Clark","Target_Child",204
"26",380193,1741,"and we hafta cover him up","and we have cover him up","declarative","coord pro:sub mod v pro:obj adv","Clark","Target_Child",234
"27",380367,1741,"lemme pet him","let pet him","declarative","v v pro:obj","Clark","Target_Child",121
"28",380368,1741,"I will invite him","I will invite him","declarative","pro:sub mod v pro:obj","Clark","Target_Child",246
"29",380448,1741,"to to mark to to the market to buy some geese","to to the market to buy some goose","declarative","inf prep det:art n inf v qn n","Clark","Target_Child",126
"30",381914,1741,"A Arfur has h a flying egg and dey get on top of duh flying egg and dey have fings that to push off some of duh elephants","Arfur have a fly egg and they get on top of the fly egg and they have thing that to push off some of the elephant","declarative","n:prop aux det:art n:gerund n coord pro:sub v adv n prep det:art n:gerund n coord pro:sub v n pro:rel inf v adv qn prep det:art n","Clark","Target_Child",357
"31",382520,1754,"he bit me when I was littler","he bite me when I be little","declarative","pro:sub v pro:obj conj pro:sub cop adj","PetersonMcCabe","Target_Child",71
"32",382677,1754,"tries to bite something","try to bite something","declarative","v inf v pro:indef","PetersonMcCabe","Target_Child",82
"33",382704,1754,"now he won't bite me because I'm bigger","now he will bite me because I big","declarative","adv pro:sub mod v pro:obj conj pro:sub adj","PetersonMcCabe","Target_Child",84
"34",383258,1741,"they reach in and dey pull out a fish and den dey put it on on dere","they reach in and they pull out a fish and den they put it on there","declarative","pro:sub v adv coord pro:sub v prep det:art n coord n pro:sub v pro:per prep n","Clark","Target_Child",423
"35",383475,1754,"I I pushed it I pushed it into water","I push it into water","declarative","pro:sub v pro:per prep n","PetersonMcCabe","Target_Child",66
"36",383500,1754,"I pushed it into water","I push it into water","declarative","pro:sub v pro:per prep n","PetersonMcCabe","Target_Child",68
"37",384134,1754,"Santa_Claus is gonna buy me another one","Santa_Claus be go buy me another one","declarative","n:prop aux part v pro:obj qn pro:indef","PetersonMcCabe","Target_Child",73
"38",384201,1754,"I took out the toy I took out the things that was in my birthday cake and I licked them","I take out the toy I take out the thing that be in my cake and I lick them","declarative","pro:sub v prep det:art n pro:sub v prep det:art n pro:rel cop prep det:poss n coord pro:sub v pro:obj","PetersonMcCabe","Target_Child",57
"39",385810,1741,"yeah and go up up up and he hold on to dere so he wouldn't go bump","yeah and go up up up and he hold on to there so he will go bump","declarative","co coord v adv adv adv coord pro:sub v adv prep adv conj pro:sub mod v n","Clark","Target_Child",32
"40",385913,1741,"no no I fink that duh little has duh little one hasta get on here and duh big one will pull him","no no I think that the little the little one have get on here and the big one will pull him","declarative","co co pro:sub v comp det:art adj det:art adj pro:indef mod v prep n coord det:art adj pro:indef mod v pro:obj","Clark","Target_Child",538
"41",386192,1741,"you haf you hafta wait to to set up duh balls and right dere and den you can push one of dose and push duh others and den over to you and den it'll go boom and den it'll go over","you you have wait to set up the ball and right there and den you can push one of those and push the others and den over to you and den it go boom and den it go over","declarative","pro:per pro:per mod v inf v prep det:art n coord adv adv coord n pro:per mod n det:num prep det:dem coord v det:art n:pt coord n adv prep pro:per coord n pro:per v co coord n pro:per v adv","Clark","Target_Child",538
"42",386218,1741,"you push it and then it'll go kaboom again and then I will catch dem","you push it and then it go kaboom again and then I will catch them","declarative","pro:per v pro:per coord adv:tem pro:per v co adv coord adv:tem pro:sub mod v pro:obj","Clark","Target_Child",539
"43",387067,1741,"yeah and sometimes cat eat milk and cat lick milk and everything dey dey like","yeah and sometimes cat eat milk cat lick milk and everything they like","declarative","co coord adv n v n n v n coord pro:indef pro:sub co","Clark","Target_Child",122
"44",387557,1741,"we hafta buy the potato chips","we have buy the potato chip","declarative","pro:sub mod v det:art n n","Clark","Target_Child",648
"45",387598,1741,"once in a while we have some and we buy it","once in a while we have some and we buy it","declarative","adv prep det:art n pro:sub v qn coord pro:sub v pro:per","Clark","Target_Child",650
"46",387976,1741,"yep da da dat's put it like and you hafta push it way on and nen","put it like and you have push it way on and then","trail off","v pro:per v coord pro:per mod v pro:per adv adv coord adv:tem","Clark","Target_Child",674
"47",388098,1741,"no I don't like s le let's bring a a blanket and cover our faces so so we won't um make any any anything stuff to to duh clowns because we don't like c clowns so we hafta go get a a blanket to hide our faces","no I do like let bring a blanket and cover our face so we make stuff to the clown because we do like clown so we have go get a blanket to hide our face","declarative","co pro:sub mod v v v det:art n coord v det:poss n conj pro:sub v n prep det:art n conj pro:sub mod v n conj pro:sub mod v v det:art n inf v det:poss n","Clark","Target_Child",189
"48",388099,1741,"he's bites you an an scr and hurts me","he bite you and hurt me","declarative","pro:sub v pro:per coord v pro:obj","Clark","Target_Child",692
"49",388185,1741,"h he bite me","he bite me","declarative","pro:sub v pro:obj","Clark","Target_Child",698
"50",389784,1741,"ah push it","ah push it","declarative","co v pro:per","Clark","Target_Child",736
"51",390575,1741,"I'll hold this in","I hold this in","declarative","pro:sub v det:dem adv","Clark","Target_Child",275
"52",391041,1741,"and dey can also stick you","and they can also stick you","imperative_emphatic","coord pro:sub mod adv v pro:per","Clark","Target_Child",311
"53",391331,1741,"a a big fing a big belt to tie it around so it will out and den den","a big a big belt to tie it around so it will out and den","trail off","det:art adj det:art adj n inf v pro:per adv conj pro:per mod adv coord n","Clark","Target_Child",551
"54",391538,1741,"a and tied around wif a belt","and tie around wife a belt","declarative","coord v prep n det:art n","Clark","Target_Child",568
"55",391737,1741,"a and do it w do it wif friends and and hold your hands","and do it wife friend and and hold your hand","declarative","coord v pro:per n n coord coord v det:poss n","Clark","Target_Child",884
