"","stem","tokens","num_chi"
"1","attack",7,4
"2","bite",251,56
"3","bring",690,100
"4","bump",85,31
"5","buy",602,84
"6","celebrate",6,5
"7","check",77,35
"8","choose",64,19
"9","cover",70,30
"10","ding",103,26
"11","discover",2,1
"12","drop",181,57
"13","flip",39,18
"14","give",1603,105
"15","glue",45,13
"16","grab",83,36
"17","greet",1,1
"18","hang",168,49
"19","hit",416,58
"20","hold",703,105
"21","invite",25,13
"22","jam",1,1
"23","keep",774,83
"24","kick",185,46
"25","knock",276,65
"26","knot",1,1
"27","know",7322,152
"28","lay",123,44
"29","lick",81,30
"30","pet",33,18
"31","pinch",18,12
"32","place",3,3
"33","poke",47,21
"34","press",85,33
"35","pull",345,80
"36","punch",130,28
"37","push",395,80
"38","put",6092,156
"39","ring",83,30
"40","sell",29,17
"41","set",182,60
"42","slam",5,4
"43","smash",33,18
"44","spin",45,24
"45","stick",419,72
"46","take",3284,137
"47","tap",4,3
"48","teach",82,36
"49","tickle",63,26
"50","tie",211,49
"51","turn",876,95
"52","understand",32,18
"53","wrap",73,28
