"","target_child_id","stem","tokens"
"1",1741,"bite",2
"2",1741,"buy",7
"3",1741,"cover",6
"4",1741,"hold",4
"5",1741,"invite",2
"6",1741,"lick",1
"7",1741,"pet",1
"8",1741,"pull",21
"9",1741,"push",6
"10",1741,"stick",4
"11",1741,"tie",8
"12",1754,"bite",6
"13",1754,"bump",5
"14",1754,"buy",5
"15",1754,"check",1
"16",1754,"hang",2
"17",1754,"hold",1
"18",1754,"lick",2
"19",1754,"pull",1
"20",1754,"punch",1
"21",1754,"push",2
"22",1754,"tie",2
"23",1999,"buy",3
"24",1999,"celebrate",1
"25",1999,"check",1
"26",1999,"cover",2
"27",1999,"drop",4
"28",1999,"glue",3
"29",1999,"hang",4
"30",1999,"hold",25
"31",1999,"invite",1
"32",1999,"kick",7
"33",1999,"pull",4
"34",1999,"push",1
"35",1999,"sell",2
"36",1999,"stick",12
"37",1999,"teach",3
"38",1999,"tie",1
"39",2006,"drop",2
"40",2006,"hold",4
"41",2006,"kick",13
"42",2006,"pull",5
"43",2006,"punch",2
"44",2007,"bite",1
"45",2007,"bump",1
"46",2007,"buy",27
"47",2007,"check",2
"48",2007,"cover",1
"49",2007,"drop",8
"50",2007,"hang",3
"51",2007,"hold",24
"52",2007,"kick",14
"53",2007,"lick",3
"54",2007,"pull",9
"55",2007,"push",9
"56",2007,"stick",4
"57",2007,"teach",2
"58",2007,"tickle",1
"59",2007,"tie",25
"60",2020,"bite",1
"61",2020,"buy",2
"62",2020,"drop",3
"63",2020,"pull",4
"64",2020,"teach",2
"65",2020,"tie",1
"66",2040,"attack",2
"67",2040,"buy",2
"68",2040,"cover",3
"69",2040,"drop",2
"70",2040,"hang",3
"71",2040,"hold",9
"72",2040,"kick",1
"73",2040,"pull",3
"74",2040,"push",2
"75",2040,"stick",8
"76",2040,"teach",1
"77",2040,"tickle",2
"78",2040,"tie",1
"79",2053,"buy",5
"80",2053,"check",2
"81",2053,"hang",1
"82",2053,"hold",14
"83",2053,"kick",4
"84",2053,"pull",4
"85",2053,"push",2
"86",2053,"stick",2
"87",2053,"teach",4
"88",2053,"tie",5
"89",2065,"bite",3
"90",2065,"bump",1
"91",2065,"buy",2
"92",2065,"check",3
"93",2065,"drop",5
"94",2065,"hang",3
"95",2065,"hold",1
"96",2065,"kick",5
"97",2065,"pull",1
"98",2065,"punch",1
"99",2065,"push",8
"100",2065,"stick",3
"101",2065,"tickle",1
"102",2077,"bite",4
"103",2077,"cover",2
"104",2077,"drop",1
"105",2077,"hold",5
"106",2077,"pull",1
"107",2077,"push",1
"108",2091,"bite",1
"109",2091,"buy",7
"110",2091,"check",1
"111",2091,"drop",1
"112",2091,"hang",1
"113",2091,"hold",5
"114",2091,"pull",1
"115",2091,"push",2
"116",2091,"stick",4
"117",2091,"tie",1
"118",2108,"bite",2
"119",2108,"bump",1
"120",2108,"buy",1
"121",2108,"check",1
"122",2108,"drop",1
"123",2108,"glue",1
"124",2108,"hang",1
"125",2108,"hold",3
"126",2108,"lick",1
"127",2108,"push",1
"128",2108,"stick",4
"129",2108,"tie",1
"130",2112,"hold",3
"131",2112,"kick",1
"132",2112,"pull",1
"133",2112,"push",3
"134",2112,"stick",3
"135",2112,"tie",4
"136",2127,"buy",5
"137",2127,"hang",1
"138",2127,"hold",4
"139",2127,"pull",2
"140",2127,"punch",1
"141",2127,"stick",1
"142",2130,"bite",1
"143",2130,"hold",7
"144",2130,"kick",1
"145",2130,"push",2
"146",2141,"bite",1
"147",2141,"buy",5
"148",2141,"check",3
"149",2141,"cover",1
"150",2141,"drop",4
"151",2141,"hold",4
"152",2141,"lick",1
"153",2141,"pull",4
"154",2141,"stick",1
"155",2141,"tie",1
"156",2172,"buy",18
"157",2172,"drop",4
"158",2172,"hang",2
"159",2172,"hold",3
"160",2172,"pull",1
"161",2172,"punch",1
"162",2172,"teach",1
"163",2187,"buy",5
