"","target_child_id","stem","tokens"
"1",1754,"adopt",0
"2",1754,"attack",0
"3",1754,"bite",6
"4",1754,"bring",3
"5",1754,"bump",5
"6",1754,"buy",5
"7",1754,"celebrate",0
"8",1754,"check",1
"9",1754,"choose",0
"10",1754,"cover",0
"11",1754,"drop",0
"12",1754,"give",14
"13",1754,"glue",0
"14",1754,"grab",1
"15",1754,"greet",0
"16",1754,"hang",2
"17",1754,"hit",11
"18",1754,"hog",0
"19",1754,"hold",1
"20",1754,"insert",0
"21",1754,"invite",0
"22",1754,"keep",0
"23",1754,"kick",0
"24",1754,"knock",2
"25",1754,"knot",0
"26",1754,"lick",2
"27",1754,"pet",0
"28",1754,"pull",1
"29",1754,"punch",1
"30",1754,"push",2
"31",1754,"sell",0
"32",1754,"slam",0
"33",1754,"smash",0
"34",1754,"stick",0
"35",1754,"stroke",0
"36",1754,"take",40
"37",1754,"tap",0
"38",1754,"teach",0
"39",1754,"tickle",0
"40",1754,"tie",2
"41",1999,"adopt",0
"42",1999,"attack",0
"43",1999,"bite",0
"44",1999,"bring",2
"45",1999,"bump",0
"46",1999,"buy",3
"47",1999,"celebrate",1
"48",1999,"check",1
"49",1999,"choose",0
"50",1999,"cover",2
"51",1999,"drop",4
"52",1999,"give",20
"53",1999,"glue",3
"54",1999,"grab",7
"55",1999,"greet",0
"56",1999,"hang",4
"57",1999,"hit",7
"58",1999,"hog",0
"59",1999,"hold",25
"60",1999,"insert",0
"61",1999,"invite",1
"62",1999,"keep",24
"63",1999,"kick",7
"64",1999,"knock",7
"65",1999,"knot",0
"66",1999,"lick",0
"67",1999,"pet",0
"68",1999,"pull",4
"69",1999,"punch",0
"70",1999,"push",1
"71",1999,"sell",2
"72",1999,"slam",0
"73",1999,"smash",0
"74",1999,"stick",12
"75",1999,"stroke",0
"76",1999,"take",43
"77",1999,"tap",0
"78",1999,"teach",3
"79",1999,"tickle",0
"80",1999,"tie",1
"81",2006,"adopt",0
"82",2006,"attack",0
"83",2006,"bite",0
"84",2006,"bring",3
"85",2006,"bump",0
"86",2006,"buy",0
"87",2006,"celebrate",0
"88",2006,"check",0
"89",2006,"choose",0
"90",2006,"cover",0
"91",2006,"drop",2
"92",2006,"give",1
"93",2006,"glue",0
"94",2006,"grab",0
"95",2006,"greet",0
"96",2006,"hang",0
"97",2006,"hit",3
"98",2006,"hog",0
"99",2006,"hold",4
"100",2006,"insert",0
"101",2006,"invite",0
"102",2006,"keep",4
"103",2006,"kick",13
"104",2006,"knock",1
"105",2006,"knot",0
"106",2006,"lick",0
"107",2006,"pet",0
"108",2006,"pull",5
"109",2006,"punch",2
"110",2006,"push",0
"111",2006,"sell",0
"112",2006,"slam",0
"113",2006,"smash",0
"114",2006,"stick",0
"115",2006,"stroke",0
"116",2006,"take",11
"117",2006,"tap",0
"118",2006,"teach",0
"119",2006,"tickle",0
"120",2006,"tie",0
"121",2007,"adopt",0
"122",2007,"attack",0
"123",2007,"bite",1
"124",2007,"bring",18
"125",2007,"bump",1
"126",2007,"buy",27
"127",2007,"celebrate",0
"128",2007,"check",2
"129",2007,"choose",0
"130",2007,"cover",1
"131",2007,"drop",8
"132",2007,"give",74
"133",2007,"glue",0
"134",2007,"grab",3
"135",2007,"greet",0
"136",2007,"hang",3
"137",2007,"hit",8
"138",2007,"hog",0
"139",2007,"hold",24
"140",2007,"insert",0
"141",2007,"invite",0
"142",2007,"keep",22
"143",2007,"kick",14
