"","Group.1","x"
"1","accept",0
"2","adopt",0
"3","attack",6
"4","bite",119
"5","bring",367
"6","bump",36
"7","buy",366
"8","celebrate",5
"9","check",41
"10","choose",21
"11","cover",39
"12","ding",61
"13","discover",2
"14","discriminate",0
"15","drop",104
"16","echo",0
"17","flip",13
"18","give",859
"19","glue",23
"20","grab",42
"21","greet",0
"22","hang",70
"23","hit",219
"24","hog",0
"25","hold",338
"26","insert",0
"27","invite",15
"28","jam",1
"29","keep",509
"30","kick",128
"31","knock",126
"32","knot",1
"33","know",4529
"34","lay",63
"35","lick",35
"36","pet",11
"37","pinch",8
"38","place",3
"39","poke",31
"40","press",60
"41","pull",163
"42","punch",73
"43","push",194
"44","put",2662
"45","rap",0
"46","ring",50
"47","sell",16
"48","set",99
"49","slam",1
"50","smash",17
"51","spin",16
"52","stick",217
"53","stroke",0
"54","take",1723
"55","tap",4
"56","teach",51
"57","tickle",42
"58","tie",108
"59","turn",440
"60","understand",23
"61","wrap",39
