"","stem","form"
"1","bump","bumps"
"2","tap","tapping"
"3","attack","attack"
"4","choose","chosen"
"5","choose","chooses"
"6","check","checks"
"7","greet","greet"
"8","greet","greeted"
"9","greet","greeting"
"10","greet","greets"
"11","celebrate","celebrated"
"12","celebrate","celebrates"
"13","invite","invites"
"14","adopt","adopt"
"15","adopt","adopted"
"16","adopt","adopting"
"17","adopt","adopts"
"18","insert","insert"
"19","insert","inserted"
"20","insert","inserting"
"21","insert","inserts"
"22","knot","knotted"
"23","knot","knotting"
"24","knot","knots"
"25","stroke","stroke"
"26","stroke","stroked"
"27","stroke","stroking"
"28","stroke","strokes"
"29","glue","glues"
"30","hog","hog"
"31","hog","hogs"
"32","hog","hogged"
"33","hog","hogging"
"34","slam","slams"
"35","slam","slamming"
"36","slam","slammed"
"37","smash","smashing"
"38","jam","jams"
"39","jam","jamming"
"40","jam","jammed"
"41","pinch","pinching"
"42","pinch","pinches"
"43","flip","flipping"
"44","spin","spinned"
"45","poke","poking"
"46","poke","pokes"
"47","press","presses"
"48","place","placed"
"49","place","placing"
"50","wrap","wrapping"
"51","discover","discover"
"52","discover","discovering"
"53","discover","discovers"
"54","discriminate","discriminate"
"55","discriminate","discriminated"
"56","discriminate","discrimating"
"57","discriminate","discriminates"
"58","echo","echo"
"59","echo","echoed"
"60","echo","echoing"
"61","echo","echoes"
"62","rap","rap"
"63","rap","rapped"
"64","rap","rapping"
"65","rap","raps"
"66","ding","dings"
"67","ding","dinged"
"68","ding","dings"
"69","accept","accept"
"70","accept","accepts"
"71","accept","accepted"
"72","accept","accepting"
"73","understand","understands"
"74","understand","understood"
"75","understand","understanding"
"76","know","knowing"
