"","target_child_id","tokens","corpus_name"
"1",1754,42,"PetersonMcCabe"
"2",1999,94,"Hall"
"3",2006,27,"Hall"
"4",2007,208,"Hall"
"5",2020,19,"Hall"
"6",2040,44,"Hall"
"7",2053,43,"Hall"
"8",2065,58,"Hall"
"9",2077,19,"Hall"
"10",2091,28,"Hall"
"11",2108,30,"Hall"
"12",2112,15,"Hall"
"13",2127,23,"Hall"
"14",2130,30,"Hall"
"15",2141,37,"Hall"
"16",2172,40,"Hall"
"17",2187,32,"Hall"
"18",2202,97,"Hall"
"19",2220,37,"Hall"
"20",2234,38,"Hall"
"21",2249,19,"Hall"
"22",2264,41,"Hall"
"23",2279,50,"Hall"
"24",2291,88,"Hall"
"25",2302,50,"Hall"
"26",2315,64,"Hall"
"27",2316,65,"Hall"
"28",2317,31,"Hall"
"29",2319,52,"Hall"
"30",2328,29,"Hall"
"31",2377,35,"Hall"
"32",2399,60,"Hall"
"33",2400,37,"Hall"
"34",2402,61,"Hall"
"35",2405,41,"Hall"
"36",2481,3,"VanKleeck"
"37",2489,3,"VanKleeck"
"38",2512,1,"VanKleeck"
"39",2529,16,"Gopnik"
"40",2543,138,"Kuczaj"
"41",2564,4,"Gleason"
"42",2568,3,"Gleason"
"43",2575,13,"Gleason"
"44",2582,4,"Gleason"
"45",2591,27,"Gleason"
"46",2597,4,"Gleason"
"47",2622,12,"Gleason"
"48",2632,24,"Gleason"
"49",2643,15,"Gleason"
"50",2725,282,"HSLLD"
"51",2787,1,"HSLLD"
"52",2808,1,"HSLLD"
"53",2850,1,"HSLLD"
"54",2865,1,"HSLLD"
"55",3057,30,"Gelman"
"56",3330,266,"Brown"
"57",3351,215,"Brown"
"58",3395,16,"MacWhinney"
"59",3459,2,"Warren"
"60",3468,3,"Warren"
"61",3906,29,"Braunwald"
"62",3940,33,"Sachs"
"63",3978,26,"Weist"
"64",3985,40,"Weist"
"65",4001,110,"Weist"
"66",4011,61,"Weist"
"67",4019,9,"Weist"
"68",5503,2,"Bliss"
"69",5516,4,"Bliss"
"70",22728,1,"Providence"
