"","target_child_id","stem","tokens"
"1",1754,"bite",6
"2",1754,"bring",3
"3",1754,"bump",5
"4",1754,"buy",5
"5",1754,"check",1
"6",1754,"give",14
"7",1754,"grab",1
"8",1754,"hang",2
"9",1754,"hit",11
"10",1754,"hold",1
"11",1754,"knock",2
"12",1754,"lick",2
"13",1754,"pull",1
"14",1754,"punch",1
"15",1754,"push",2
"16",1754,"take",40
"17",1754,"tie",2
"18",1999,"bring",2
"19",1999,"buy",3
"20",1999,"celebrate",1
"21",1999,"check",1
"22",1999,"cover",2
"23",1999,"drop",4
"24",1999,"give",20
"25",1999,"glue",3
"26",1999,"grab",7
"27",1999,"hang",4
"28",1999,"hit",7
"29",1999,"hold",25
"30",1999,"invite",1
"31",1999,"keep",24
"32",1999,"kick",7
"33",1999,"knock",7
"34",1999,"pull",4
"35",1999,"push",1
"36",1999,"sell",2
"37",1999,"stick",12
"38",1999,"take",43
"39",1999,"teach",3
"40",1999,"tie",1
"41",2006,"bring",3
"42",2006,"drop",2
"43",2006,"give",1
"44",2006,"hit",3
"45",2006,"hold",4
"46",2006,"keep",4
"47",2006,"kick",13
"48",2006,"knock",1
"49",2006,"pull",5
"50",2006,"punch",2
"51",2006,"take",11
"52",2007,"bite",1
"53",2007,"bring",18
"54",2007,"bump",1
"55",2007,"buy",27
"56",2007,"check",2
"57",2007,"cover",1
"58",2007,"drop",8
"59",2007,"give",74
"60",2007,"grab",3
"61",2007,"hang",3
"62",2007,"hit",8
"63",2007,"hold",24
"64",2007,"keep",22
"65",2007,"kick",14
"66",2007,"knock",6
"67",2007,"lick",3
"68",2007,"pull",9
"69",2007,"push",9
"70",2007,"stick",4
"71",2007,"take",76
"72",2007,"teach",2
"73",2007,"tickle",1
"74",2007,"tie",25
"75",2020,"bite",1
"76",2020,"bring",3
"77",2020,"buy",2
"78",2020,"drop",3
"79",2020,"give",6
"80",2020,"hit",1
"81",2020,"keep",12
"82",2020,"pull",4
"83",2020,"take",30
"84",2020,"teach",2
"85",2020,"tie",1
"86",2040,"attack",2
"87",2040,"bring",10
"88",2040,"buy",2
"89",2040,"cover",3
"90",2040,"drop",2
"91",2040,"give",5
"92",2040,"grab",1
"93",2040,"hang",3
"94",2040,"hit",3
"95",2040,"hold",9
"96",2040,"keep",2
"97",2040,"kick",1
"98",2040,"knock",3
"99",2040,"pull",3
"100",2040,"push",2
"101",2040,"stick",8
"102",2040,"take",27
"103",2040,"teach",1
"104",2040,"tickle",2
"105",2040,"tie",1
"106",2053,"buy",5
"107",2053,"check",2
"108",2053,"hang",1
"109",2053,"hit",1
"110",2053,"hold",14
"111",2053,"kick",4
"112",2053,"knock",1
"113",2053,"pull",4
"114",2053,"push",2
"115",2053,"smash",1
"116",2053,"stick",2
"117",2053,"take",16
"118",2053,"teach",4
"119",2053,"tie",5
"120",2065,"bite",3
"121",2065,"bring",7
"122",2065,"bump",1
"123",2065,"buy",2
"124",2065,"check",3
"125",2065,"drop",5
"126",2065,"give",21
"127",2065,"hang",3
"128",2065,"hit",9
"129",2065,"hold",1
"130",2065,"keep",5
"131",2065,"kick",5
"132",2065,"knock",1
"133",2065,"pull",1
"134",2065,"punch",1
"135",2065,"push",8
"136",2065,"stick",3
"137",2065,"take",18
"138",2065,"tickle",1
"139",2077,"bite",4
"140",2077,"bring",2
"141",2077,"cover",2
"142",2077,"drop",1
"143",2077,"give",5
"144",2077,"grab",1
"145",2077,"hit",1
"146",2077,"hold",5
"147",2077,"keep",1
"148",2077,"pull",1
"149",2077,"push",1
"150",2077,"take",39
"151",2091,"bite",1
"152",2091,"bring",3
"153",2091,"buy",7
"154",2091,"check",1
"155",2091,"drop",1
"156",2091,"give",4
"157",2091,"hang",1
"158",2091,"hit",3
"159",2091,"hold",5
"160",2091,"keep",11
"161",2091,"pull",1
"162",2091,"push",2
"163",2091,"stick",4
"164",2091,"take",26
"165",2091,"tie",1
"166",2108,"bite",2
"167",2108,"bring",2
"168",2108,"bump",1
"169",2108,"buy",1
"170",2108,"check",1
"171",2108,"drop",1
"172",2108,"give",12
"173",2108,"glue",1
"174",2108,"grab",1
"175",2108,"hang",1
"176",2108,"hold",3
"177",2108,"keep",3
"178",2108,"knock",1
"179",2108,"lick",1
"180",2108,"push",1
"181",2108,"smash",1
"182",2108,"stick",4
"183",2108,"take",19
"184",2108,"tie",1
"185",2112,"grab",2
"186",2112,"hit",3
"187",2112,"hold",3
"188",2112,"keep",4
"189",2112,"kick",1
"190",2112,"pull",1
"191",2112,"push",3
"192",2112,"stick",3
"193",2112,"take",36
"194",2112,"tie",4
"195",2127,"bring",3
"196",2127,"buy",5
"197",2127,"give",9
"198",2127,"grab",10
"199",2127,"hang",1
"200",2127,"hit",16
"201",2127,"hold",4
"202",2127,"keep",7
"203",2127,"knock",4
"204",2127,"pull",2
"205",2127,"punch",1
"206",2127,"stick",1
"207",2127,"take",16
"208",2130,"bite",1
"209",2130,"bring",1
"210",2130,"give",19
"211",2130,"hit",2
"212",2130,"hold",7
"213",2130,"keep",3
"214",2130,"kick",1
"215",2130,"knock",3
"216",2130,"push",2
"217",2130,"take",18
"218",2141,"bite",1
"219",2141,"buy",5
"220",2141,"check",3
"221",2141,"cover",1
"222",2141,"drop",4
"223",2141,"give",12
"224",2141,"hit",2
"225",2141,"hold",4
"226",2141,"keep",9
"227",2141,"lick",1
"228",2141,"pull",4
"229",2141,"stick",1
"230",2141,"take",28
"231",2141,"tie",1
"232",2172,"bring",6
"233",2172,"buy",18
"234",2172,"drop",4
"235",2172,"give",10
"236",2172,"grab",1
"237",2172,"hang",2
"238",2172,"hit",7
"239",2172,"hold",3
"240",2172,"keep",6
"241",2172,"knock",1
"242",2172,"pull",1
"243",2172,"punch",1
"244",2172,"take",19
"245",2172,"teach",1
"246",2187,"bring",8
"247",2187,"buy",5
"248",2187,"check",1
"249",2187,"drop",1
"250",2187,"give",9
"251",2187,"hang",1
"252",2187,"keep",3
"253",2187,"knock",1
"254",2187,"pull",7
"255",2187,"push",4
"256",2187,"take",18
"257",2187,"tie",4
"258",2202,"bite",11
"259",2202,"bring",15
"260",2202,"bump",2
"261",2202,"buy",11
"262",2202,"check",9
"263",2202,"drop",1
"264",2202,"give",24
"265",2202,"grab",2
"266",2202,"hang",2
"267",2202,"hit",11
"268",2202,"hold",2
"269",2202,"keep",32
"270",2202,"kick",8
"271",2202,"knock",6
"272",2202,"lick",1
"273",2202,"pull",4
"274",2202,"punch",2
"275",2202,"push",6
"276",2202,"sell",1
"277",2202,"stick",9
"278",2202,"take",61
"279",2202,"tie",4
"280",2220,"bite",1
"281",2220,"bring",3
"282",2220,"buy",2
"283",2220,"drop",2
"284",2220,"give",7
"285",2220,"hit",2
"286",2220,"hold",6
"287",2220,"keep",5
"288",2220,"kick",5
"289",2220,"knock",6
"290",2220,"pull",5
"291",2220,"punch",4
"292",2220,"push",4
"293",2220,"smash",1
"294",2220,"stick",1
"295",2220,"take",26
"296",2234,"bring",6
"297",2234,"bump",1
"298",2234,"buy",4
"299",2234,"cover",1
"300",2234,"drop",1
"301",2234,"give",9
"302",2234,"hit",10
"303",2234,"hold",8
"304",2234,"keep",4
"305",2234,"kick",1
"306",2234,"knock",1
"307",2234,"pull",4
"308",2234,"punch",2
"309",2234,"push",2
"310",2234,"smash",3
"311",2234,"stick",1
"312",2234,"take",41
"313",2234,"tickle",1
"314",2234,"tie",3
"315",2249,"bring",1
"316",2249,"drop",1
"317",2249,"give",4
"318",2249,"hang",1
"319",2249,"hit",1
"320",2249,"hold",8
"321",2249,"keep",7
"322",2249,"knock",1
"323",2249,"pull",2
"324",2249,"punch",1
"325",2249,"stick",1
"326",2249,"take",13
"327",2249,"tie",1
"328",2264,"bring",2
"329",2264,"buy",1
"330",2264,"give",25
"331",2264,"hit",3
"332",2264,"hold",6
"333",2264,"keep",11
"334",2264,"lick",2
"335",2264,"pull",1
"336",2264,"push",1
"337",2264,"stick",1
"338",2264,"take",38
"339",2264,"teach",3
"340",2264,"tie",1
"341",2279,"bring",1
"342",2279,"bump",3
"343",2279,"buy",4
"344",2279,"check",1
"345",2279,"give",20
"346",2279,"hit",2
"347",2279,"hold",2
"348",2279,"keep",6
"349",2279,"knock",1
"350",2279,"pull",8
"351",2279,"push",9
"352",2279,"sell",1
"353",2279,"take",24
"354",2279,"tap",2
"355",2291,"bite",4
"356",2291,"bring",9
"357",2291,"bump",1
"358",2291,"buy",11
"359",2291,"check",4
"360",2291,"choose",2
"361",2291,"cover",4
"362",2291,"give",34
"363",2291,"hang",3
"364",2291,"hit",4
"365",2291,"hold",10
"366",2291,"keep",2
"367",2291,"knock",2
"368",2291,"knot",1
"369",2291,"lick",1
"370",2291,"pull",4
"371",2291,"push",4
"372",2291,"stick",1
"373",2291,"take",42
"374",2291,"tickle",3
"375",2291,"tie",1
"376",2302,"bite",2
"377",2302,"bring",3
"378",2302,"buy",4
"379",2302,"choose",1
"380",2302,"give",26
"381",2302,"hit",1
"382",2302,"hold",4
"383",2302,"keep",3
"384",2302,"knock",1
"385",2302,"pet",2
"386",2302,"pull",2
"387",2302,"push",2
"388",2302,"stick",3
"389",2302,"take",46
"390",2302,"teach",3
"391",2302,"tie",1
"392",2315,"bring",3
"393",2315,"buy",2
"394",2315,"drop",4
"395",2315,"give",23
"396",2315,"hold",8
"397",2315,"keep",11
"398",2315,"knock",1
"399",2315,"lick",2
"400",2315,"pet",1
"401",2315,"pull",2
"402",2315,"push",4
"403",2315,"stick",5
"404",2315,"take",25
"405",2315,"tickle",12
"406",2315,"tie",1
