"","Group.1","x"
"1","accept",0
"2","adopt",0
"3","attack",1
"4","bite",132
"5","bring",323
"6","bump",49
"7","buy",236
"8","celebrate",1
"9","check",36
"10","choose",43
"11","cover",31
"12","ding",42
"13","discover",0
"14","discriminate",0
"15","drop",77
"16","echo",0
"17","flip",26
"18","give",744
"19","glue",22
"20","grab",41
"21","greet",1
"22","hang",98
"23","hit",197
"24","hog",0
"25","hold",365
"26","insert",0
"27","invite",10
"28","jam",0
"29","keep",265
"30","kick",57
"31","knock",150
"32","knot",0
"33","know",2793
"34","lay",60
"35","lick",46
"36","pet",22
"37","pinch",10
"38","place",0
"39","poke",16
"40","press",25
"41","pull",182
"42","punch",57
"43","push",201
"44","put",3430
"45","rap",0
"46","ring",33
"47","sell",13
"48","set",83
"49","slam",4
"50","smash",16
"51","spin",29
"52","stick",202
"53","stroke",0
"54","take",1561
"55","tap",0
"56","teach",31
"57","tickle",21
"58","tie",103
"59","turn",436
"60","understand",9
"61","wrap",34
