"","target_child_id","tokens","corpus_name"
"1",1741,62,"Clark"
"2",2479,3,"VanKleeck"
"3",2483,5,"VanKleeck"
"4",2485,4,"VanKleeck"
"5",2486,2,"VanKleeck"
"6",2491,3,"VanKleeck"
"7",2497,2,"VanKleeck"
"8",2498,9,"VanKleeck"
"9",2503,1,"VanKleeck"
"10",2505,2,"VanKleeck"
"11",2507,2,"VanKleeck"
"12",2508,5,"VanKleeck"
"13",2511,1,"VanKleeck"
"14",2515,2,"VanKleeck"
"15",2517,3,"VanKleeck"
"16",2519,116,"Suppes"
"17",2529,7,"Gopnik"
"18",2543,266,"Kuczaj"
"19",2572,10,"Gleason"
"20",2585,11,"Gleason"
"21",2586,16,"Gleason"
"22",2601,9,"Gleason"
"23",2605,5,"Gleason"
"24",2606,3,"Gleason"
"25",2636,6,"Gleason"
"26",2640,9,"Gleason"
"27",2658,12,"Gleason"
"28",2725,113,"HSLLD"
"29",3057,10,"Gelman"
"30",3144,11,"Bloom"
"31",3330,315,"Brown"
"32",3351,133,"Brown"
"33",3395,35,"MacWhinney"
"34",3507,10,"VanHouten"
"35",3512,4,"VanHouten"
"36",3517,5,"VanHouten"
"37",3519,5,"VanHouten"
"38",3521,8,"VanHouten"
"39",3524,4,"VanHouten"
"40",3532,1,"VanHouten"
"41",3534,4,"VanHouten"
"42",3537,7,"VanHouten"
"43",3538,3,"VanHouten"
"44",3543,1,"VanHouten"
"45",3546,4,"VanHouten"
"46",3550,2,"VanHouten"
"47",3553,2,"VanHouten"
"48",3555,1,"VanHouten"
"49",3560,4,"VanHouten"
"50",3562,2,"VanHouten"
"51",3564,3,"VanHouten"
"52",3565,3,"VanHouten"
"53",3567,9,"VanHouten"
"54",3906,111,"Braunwald"
"55",3940,26,"Sachs"
"56",3973,4,"Weist"
"57",3978,68,"Weist"
"58",3985,45,"Weist"
"59",4001,109,"Weist"
"60",4011,101,"Weist"
"61",4031,7,"Morisset"
"62",4208,1,"Morisset"
"63",4214,1,"Morisset"
"64",5510,7,"Bliss"
"65",5525,17,"Demetras1"
"66",5533,11,"Bohannon"
"67",5547,21,"Bohannon"
"68",5551,2,"Bohannon"
"69",5564,76,"Snow"
"70",22695,1,"Davis"
"71",22704,39,"Providence"
"72",22728,37,"Providence"
"73",22743,33,"Providence"
"74",22755,12,"Providence"
"75",22764,33,"Providence"
