"","target_child_id","tokens","corpus_name"
"1",1741,137,"Clark"
"2",2479,9,"VanKleeck"
"3",2483,16,"VanKleeck"
"4",2485,13,"VanKleeck"
"5",2486,2,"VanKleeck"
"6",2491,6,"VanKleeck"
"7",2493,1,"VanKleeck"
"8",2495,7,"VanKleeck"
"9",2497,15,"VanKleeck"
"10",2498,18,"VanKleeck"
"11",2503,10,"VanKleeck"
"12",2505,9,"VanKleeck"
"13",2507,6,"VanKleeck"
"14",2508,10,"VanKleeck"
"15",2511,8,"VanKleeck"
"16",2515,16,"VanKleeck"
"17",2517,6,"VanKleeck"
"18",2519,349,"Suppes"
"19",2529,19,"Gopnik"
"20",2543,598,"Kuczaj"
"21",2572,17,"Gleason"
"22",2585,47,"Gleason"
"23",2586,28,"Gleason"
"24",2601,21,"Gleason"
"25",2605,19,"Gleason"
"26",2606,16,"Gleason"
"27",2636,13,"Gleason"
"28",2640,37,"Gleason"
"29",2643,6,"Gleason"
"30",2658,60,"Gleason"
"31",2725,321,"HSLLD"
"32",2856,2,"HSLLD"
"33",3057,17,"Gelman"
"34",3144,79,"Bloom"
"35",3330,962,"Brown"
"36",3351,337,"Brown"
"37",3395,93,"MacWhinney"
"38",3460,2,"Warren"
"39",3507,11,"VanHouten"
"40",3509,1,"VanHouten"
"41",3512,4,"VanHouten"
"42",3517,15,"VanHouten"
"43",3519,6,"VanHouten"
"44",3521,11,"VanHouten"
"45",3524,4,"VanHouten"
"46",3528,2,"VanHouten"
"47",3532,1,"VanHouten"
"48",3534,6,"VanHouten"
"49",3537,9,"VanHouten"
"50",3538,4,"VanHouten"
"51",3543,3,"VanHouten"
"52",3546,9,"VanHouten"
"53",3548,1,"VanHouten"
"54",3550,3,"VanHouten"
"55",3553,4,"VanHouten"
"56",3555,5,"VanHouten"
"57",3560,5,"VanHouten"
"58",3562,4,"VanHouten"
"59",3564,4,"VanHouten"
"60",3565,4,"VanHouten"
"61",3567,12,"VanHouten"
"62",3906,263,"Braunwald"
"63",3940,62,"Sachs"
"64",3973,14,"Weist"
"65",3978,145,"Weist"
"66",3985,94,"Weist"
"67",4001,218,"Weist"
"68",4011,191,"Weist"
"69",4031,21,"Morisset"
"70",4070,2,"Morisset"
"71",4208,1,"Morisset"
"72",4214,1,"Morisset"
"73",4218,1,"Morisset"
"74",4267,1,"Morisset"
"75",5510,18,"Bliss"
"76",5525,110,"Demetras1"
"77",5533,22,"Bohannon"
"78",5547,60,"Bohannon"
"79",5551,12,"Bohannon"
"80",5564,149,"Snow"
"81",22695,15,"Davis"
"82",22704,102,"Providence"
"83",22728,113,"Providence"
"84",22743,106,"Providence"
"85",22755,40,"Providence"
"86",22764,117,"Providence"
