"","stem","tokens","num_chi"
"1","attack",1,1
"2","bite",132,23
"3","bring",323,45
"4","bump",49,14
"5","buy",236,33
"6","celebrate",1,1
"7","check",36,14
"8","choose",43,10
"9","cover",31,13
"10","drop",77,21
"11","give",744,49
"12","glue",22,5
"13","grab",41,17
"14","greet",1,1
"15","hang",98,22
"16","hit",197,19
"17","hold",365,50
"18","invite",10,6
"19","keep",265,28
"20","kick",57,17
"21","knock",150,28
"22","lick",46,11
"23","pet",22,10
"24","pull",182,35
"25","punch",57,7
"26","push",201,42
"27","sell",13,7
"28","slam",4,3
"29","smash",16,7
"30","stick",202,29
"31","take",1561,72
"32","teach",31,17
"33","tickle",21,11
"34","tie",103,16
