"","target_child_id","stem","tokens"
"1",1754,"agree",0
"2",1754,"attach",0
"3",1754,"connect",0
"4",1754,"cooperate",0
"5",1754,"crash",8
"6",1754,"fight",4
"7",1754,"hug",0
"8",1754,"join",0
"9",1754,"kiss",0
"10",1754,"marry",0
"11",1754,"match",0
"12",1754,"meet",0
"13",1754,"rhyme",0
"14",1754,"separate",0
"15",1754,"share",0
"16",1754,"touch",2
"17",1754,"trade",0
"18",1999,"agree",0
"19",1999,"attach",0
"20",1999,"connect",0
"21",1999,"cooperate",0
"22",1999,"crash",0
"23",1999,"fight",2
"24",1999,"hug",0
"25",1999,"join",0
"26",1999,"kiss",1
"27",1999,"marry",0
"28",1999,"match",0
"29",1999,"meet",1
"30",1999,"rhyme",0
"31",1999,"separate",0
"32",1999,"share",0
"33",1999,"touch",3
"34",1999,"trade",0
"35",2006,"agree",0
"36",2006,"attach",0
"37",2006,"connect",0
"38",2006,"cooperate",0
"39",2006,"crash",0
"40",2006,"fight",0
"41",2006,"hug",0
"42",2006,"join",0
"43",2006,"kiss",0
"44",2006,"marry",0
"45",2006,"match",0
"46",2006,"meet",0
"47",2006,"rhyme",0
"48",2006,"separate",0
"49",2006,"share",0
"50",2006,"touch",5
"51",2006,"trade",0
"52",2007,"agree",0
"53",2007,"attach",0
"54",2007,"connect",0
"55",2007,"cooperate",0
"56",2007,"crash",1
"57",2007,"fight",3
"58",2007,"hug",0
"59",2007,"join",0
"60",2007,"kiss",1
"61",2007,"marry",0
"62",2007,"match",0
"63",2007,"meet",2
"64",2007,"rhyme",0
"65",2007,"separate",0
"66",2007,"share",0
"67",2007,"touch",12
"68",2007,"trade",1
"69",2020,"agree",0
"70",2020,"attach",0
"71",2020,"connect",0
"72",2020,"cooperate",0
"73",2020,"crash",0
"74",2020,"fight",1
"75",2020,"hug",0
"76",2020,"join",1
"77",2020,"kiss",0
"78",2020,"marry",0
"79",2020,"match",1
"80",2020,"meet",1
"81",2020,"rhyme",0
"82",2020,"separate",0
"83",2020,"share",2
"84",2020,"touch",4
"85",2020,"trade",0
"86",2040,"agree",0
"87",2040,"attach",0
"88",2040,"connect",0
"89",2040,"cooperate",0
"90",2040,"crash",0
"91",2040,"fight",5
"92",2040,"hug",0
"93",2040,"join",0
"94",2040,"kiss",4
"95",2040,"marry",0
"96",2040,"match",0
"97",2040,"meet",1
"98",2040,"rhyme",0
"99",2040,"separate",1
"100",2040,"share",0
"101",2040,"touch",9
"102",2040,"trade",0
"103",2053,"agree",0
"104",2053,"attach",0
"105",2053,"connect",0
"106",2053,"cooperate",0
"107",2053,"crash",0
"108",2053,"fight",1
"109",2053,"hug",0
"110",2053,"join",0
"111",2053,"kiss",0
"112",2053,"marry",0
"113",2053,"match",1
"114",2053,"meet",0
"115",2053,"rhyme",0
"116",2053,"separate",1
"117",2053,"share",0
"118",2053,"touch",1
"119",2053,"trade",0
"120",2065,"agree",0
"121",2065,"attach",0
"122",2065,"connect",0
"123",2065,"cooperate",0
"124",2065,"crash",1
"125",2065,"fight",2
"126",2065,"hug",2
"127",2065,"join",0
"128",2065,"kiss",0
"129",2065,"marry",0
"130",2065,"match",0
"131",2065,"meet",0
"132",2065,"rhyme",0
"133",2065,"separate",0
"134",2065,"share",0
"135",2065,"touch",0
"136",2065,"trade",0
"137",2077,"agree",0
"138",2077,"attach",0
"139",2077,"connect",0
"140",2077,"cooperate",0
"141",2077,"crash",0
"142",2077,"fight",0
"143",2077,"hug",0
"144",2077,"join",0
"145",2077,"kiss",0
"146",2077,"marry",0
"147",2077,"match",0
"148",2077,"meet",0
"149",2077,"rhyme",0
"150",2077,"separate",0
"151",2077,"share",0
"152",2077,"touch",3
"153",2077,"trade",0
"154",2091,"agree",0
"155",2091,"attach",0
"156",2091,"connect",0
"157",2091,"cooperate",0
"158",2091,"crash",0
"159",2091,"fight",2
"160",2091,"hug",0
"161",2091,"join",0
"162",2091,"kiss",0
"163",2091,"marry",0
"164",2091,"match",0
"165",2091,"meet",1
"166",2091,"rhyme",14
"167",2091,"separate",0
"168",2091,"share",1
"169",2091,"touch",3
"170",2091,"trade",0
"171",2108,"agree",0
"172",2108,"attach",0
"173",2108,"connect",0
"174",2108,"cooperate",0
"175",2108,"crash",0
"176",2108,"fight",2
"177",2108,"hug",0
"178",2108,"join",0
"179",2108,"kiss",0
"180",2108,"marry",0
"181",2108,"match",0
"182",2108,"meet",0
"183",2108,"rhyme",0
"184",2108,"separate",0
"185",2108,"share",0
"186",2108,"touch",3
"187",2108,"trade",0
"188",2112,"agree",0
"189",2112,"attach",0
"190",2112,"connect",0
"191",2112,"cooperate",0
"192",2112,"crash",0
"193",2112,"fight",0
"194",2112,"hug",0
"195",2112,"join",0
"196",2112,"kiss",0
"197",2112,"marry",0
"198",2112,"match",0
"199",2112,"meet",0
"200",2112,"rhyme",0
"201",2112,"separate",0
"202",2112,"share",0
"203",2112,"touch",2
"204",2112,"trade",0
"205",2127,"agree",0
"206",2127,"attach",1
"207",2127,"connect",0
"208",2127,"cooperate",0
"209",2127,"crash",1
"210",2127,"fight",0
"211",2127,"hug",0
"212",2127,"join",0
"213",2127,"kiss",1
"214",2127,"marry",2
"215",2127,"match",0
"216",2127,"meet",0
"217",2127,"rhyme",0
"218",2127,"separate",0
"219",2127,"share",0
"220",2127,"touch",13
"221",2127,"trade",1
"222",2130,"agree",0
"223",2130,"attach",0
"224",2130,"connect",0
"225",2130,"cooperate",0
"226",2130,"crash",0
"227",2130,"fight",1
"228",2130,"hug",0
"229",2130,"join",0
"230",2130,"kiss",0
"231",2130,"marry",0
"232",2130,"match",0
"233",2130,"meet",3
"234",2130,"rhyme",0
"235",2130,"separate",0
"236",2130,"share",0
"237",2130,"touch",0
"238",2130,"trade",0
"239",2141,"agree",0
"240",2141,"attach",3
"241",2141,"connect",0
"242",2141,"cooperate",0
"243",2141,"crash",0
"244",2141,"fight",0
"245",2141,"hug",0
"246",2141,"join",0
"247",2141,"kiss",4
"248",2141,"marry",2
"249",2141,"match",0
"250",2141,"meet",2
"251",2141,"rhyme",1
"252",2141,"separate",1
"253",2141,"share",0
"254",2141,"touch",2
"255",2141,"trade",0
"256",2172,"agree",0
"257",2172,"attach",0
"258",2172,"connect",0
"259",2172,"cooperate",0
"260",2172,"crash",0
"261",2172,"fight",0
"262",2172,"hug",0
"263",2172,"join",0
"264",2172,"kiss",1
"265",2172,"marry",1
"266",2172,"match",0
"267",2172,"meet",0
"268",2172,"rhyme",0
"269",2172,"separate",0
"270",2172,"share",0
"271",2172,"touch",8
"272",2172,"trade",0
"273",2187,"agree",0
"274",2187,"attach",0
"275",2187,"connect",0
"276",2187,"cooperate",0
"277",2187,"crash",1
"278",2187,"fight",0
"279",2187,"hug",0
"280",2187,"join",0
"281",2187,"kiss",0
"282",2187,"marry",0
"283",2187,"match",0
"284",2187,"meet",0
"285",2187,"rhyme",0
"286",2187,"separate",0
"287",2187,"share",0
"288",2187,"touch",1
"289",2187,"trade",0
"290",2202,"agree",0
"291",2202,"attach",1
"292",2202,"connect",0
"293",2202,"cooperate",0
"294",2202,"crash",2
"295",2202,"fight",3
"296",2202,"hug",0
"297",2202,"join",0
"298",2202,"kiss",2
"299",2202,"marry",0
"300",2202,"match",0
"301",2202,"meet",1
"302",2202,"rhyme",0
"303",2202,"separate",0
"304",2202,"share",2
"305",2202,"touch",4
"306",2202,"trade",0
"307",2234,"agree",0
"308",2234,"attach",0
"309",2234,"connect",0
"310",2234,"cooperate",0
"311",2234,"crash",0
"312",2234,"fight",1
"313",2234,"hug",0
"314",2234,"join",0
"315",2234,"kiss",0
"316",2234,"marry",0
"317",2234,"match",0
"318",2234,"meet",0
"319",2234,"rhyme",0
"320",2234,"separate",0
"321",2234,"share",0
"322",2234,"touch",5
"323",2234,"trade",0
"324",2249,"agree",0
"325",2249,"attach",0
"326",2249,"connect",0
"327",2249,"cooperate",0
"328",2249,"crash",0
"329",2249,"fight",2
"330",2249,"hug",0
"331",2249,"join",0
"332",2249,"kiss",0
"333",2249,"marry",0
"334",2249,"match",0
"335",2249,"meet",0
"336",2249,"rhyme",0
"337",2249,"separate",0
"338",2249,"share",0
"339",2249,"touch",0
"340",2249,"trade",0
"341",2264,"agree",1
"342",2264,"attach",1
"343",2264,"connect",0
