"","form","count"
"1","agree",2
"2","agreed",2
"3","arguing",2
"4","attach",4
"5","attached",15
"6","bump",14
"7","bumped",21
"8","bumping",1
"9","chat",2
"10","connect",6
"11","connected",2
"12","crash",5
"13","crashed",22
"14","crashing",3
"15","fight",33
"16","fighting",39
"17","fights",4
"18","fought",1
"19","hug",8
"20","hugging",3
"21","join",4
"22","joined",3
"23","kiss",22
"24","kissed",12
"25","kisses",2
"26","kissing",8
"27","married",16
"28","marries",1
"29","marry",17
"30","marrying",2
"31","match",13
"32","matches",11
"33","matching",3
"34","meet",17
"35","meeting",2
"36","meets",3
"37","met",15
"38","rhymes",16
"39","separate",4
"40","separated",1
"41","share",26
"42","shared",1
"43","sharing",3
"44","split",3
"45","splitting",1
"46","thought",1
"47","touch",124
"48","touched",21
"49","touches",4
"50","touching",30
"51","trade",5
