"","form","target_child_id","target_child_age","count","stem"
"1","agree",1754,4,0,"agree"
"2","agreed",1754,4,0,"agree"
"3","agreeing",1754,4,0,"agree"
"4","agrees",1754,4,0,"agree"
"5","argue",1754,4,0,"argue"
"6","argued",1754,4,0,"argue"
"7","argues",1754,4,0,"argue"
"8","arguing",1754,4,0,"argue"
"9","attach",1754,4,0,"attach"
"10","attached",1754,4,0,"attach"
"11","attaches",1754,4,0,"attach"
"12","attaching",1754,4,0,"attach"
"13","bump",1754,4,0,"bump"
"14","bumped",1754,4,1,"bump"
"15","bumped",1754,4,2,"bump"
"16","bumped",1754,4,1,"bump"
"17","bumped",1754,4,1,"bump"
"18","bumping",1754,4,0,"bump"
"19","bumps",1754,4,0,"bump"
"20","chat",1754,4,0,"chat"
"21","chats",1754,4,0,"chat"
"22","chatted",1754,4,0,"chat"
"23","chatting",1754,4,0,"chat"
"24","combine",1754,4,0,"combine"
"25","combined",1754,4,0,"combine"
"26","combines",1754,4,0,"combine"
"27","combining",1754,4,0,"combine"
"28","compete",1754,4,0,"compete"
"29","competed",1754,4,0,"compete"
"30","competes",1754,4,0,"compete"
"31","competing",1754,4,0,"compete"
"32","connect",1754,4,0,"connect"
"33","connected",1754,4,0,"connect"
"34","connecting",1754,4,0,"connect"
"35","connects",1754,4,0,"connect"
"36","cooperate",1754,4,0,"cooperate"
"37","cooperated",1754,4,0,"cooperate"
"38","cooperates",1754,4,0,"cooperate"
"39","cooperating",1754,4,0,"cooperate"
"40","crash",1754,4,0,"crash"
"41","crashed",1754,4,1,"crash"
"42","crashed",1754,4,1,"crash"
"43","crashed",1754,4,1,"crash"
"44","crashed",1754,4,1,"crash"
"45","crashed",1754,4,1,"crash"
"46","crashed",1754,4,1,"crash"
"47","crashed",1754,4,1,"crash"
"48","crashed",1754,4,1,"crash"
"49","crashes",1754,4,0,"crash"
"50","crashing",1754,4,0,"crash"
"51","differ",1754,4,0,"differ"
"52","differed",1754,4,0,"differ"
"53","differing",1754,4,0,"differ"
"54","differs",1754,4,0,"differ"
"55","disagree",1754,4,0,"disagree"
"56","disagreed",1754,4,0,"disagree"
"57","disagreeing",1754,4,0,"disagree"
"58","equal",1754,4,0,"equal"
"59","equaled",1754,4,0,"equal"
"60","equaling",1754,4,0,"equal"
"61","equals",1754,4,0,"equal"
"62","fight",1754,4,1,"fight"
"63","fight",1754,4,1,"fight"
"64","fight",1754,4,1,"fight"
"65","fighting",1754,4,1,"fight"
"66","fights",1754,4,0,"fight"
"67","fought",1754,4,0,"fight"
"68","friend",1754,4,0,"friend"
"69","friended",1754,4,0,"friend"
"70","friends",1754,4,0,"friend"
"71","hug",1754,4,0,"hug"
"72","hugged",1754,4,0,"hug"
"73","hugging",1754,4,0,"hug"
"74","hugs",1754,4,0,"hug"
"75","join",1754,4,0,"join"
"76","joined",1754,4,0,"join"
"77","joining",1754,4,0,"join"
"78","joins",1754,4,0,"join"
"79","kiss",1754,4,0,"kiss"
"80","kissed",1754,4,0,"kiss"
"81","kisses",1754,4,0,"kiss"
"82","kissing",1754,4,0,"kiss"
"83","married",1754,4,0,"marry"
"84","marries",1754,4,0,"marry"
"85","marry",1754,4,0,"marry"
"86","marrying",1754,4,0,"marry"
"87","match",1754,4,0,"match"
"88","matched",1754,4,0,"match"
"89","matches",1754,4,0,"match"
"90","matching",1754,4,0,"match"
"91","meet",1754,4,0,"meet"
"92","meeting",1754,4,0,"meet"
"93","meets",1754,4,0,"meet"
"94","met",1754,4,0,"meet"
"95","rhyme",1754,4,0,"rhyme"
"96","rhymed",1754,4,0,"rhyme"
"97","rhymes",1754,4,0,"rhyme"
"98","rhyming",1754,4,0,"rhyme"
"99","same",1754,4,0,"same"
"100","separate",1754,4,0,"separate"
"101","separated",1754,4,0,"separate"
"102","separates",1754,4,0,"separate"
"103","separating",1754,4,0,"separate"
"104","share",1754,4,0,"share"
"105","shared",1754,4,0,"share"
"106","shares",1754,4,0,"share"
"107","sharing",1754,4,0,"share"
"108","similar",1754,4,0,"similar"
"109","split",1754,4,0,"split"
"110","splits",1754,4,0,"split"
"111","splitting",1754,4,0,"split"
"112","touch",1754,4,1,"touch"
"113","touch",1754,4,1,"touch"
"114","touched",1754,4,0,"touch"
"115","touches",1754,4,0,"touch"
"116","touching",1754,4,0,"touch"
"117","trade",1754,4,0,"trade"
"118","traded",1754,4,0,"trade"
"119","trades",1754,4,0,"trade"
"120","trading",1754,4,0,"trade"
"121","agree",1999,4,0,"agree"
"122","agreed",1999,4,0,"agree"
"123","agreeing",1999,4,0,"agree"
"124","agrees",1999,4,0,"agree"
"125","argue",1999,4,0,"argue"
"126","argued",1999,4,0,"argue"
"127","argues",1999,4,0,"argue"
"128","arguing",1999,4,0,"argue"
"129","attach",1999,4,0,"attach"
"130","attached",1999,4,0,"attach"
"131","attaches",1999,4,0,"attach"
"132","attaching",1999,4,0,"attach"
"133","bump",1999,4,0,"bump"
"134","bumped",1999,4,0,"bump"
"135","bumping",1999,4,0,"bump"
"136","bumps",1999,4,0,"bump"
"137","chat",1999,4,0,"chat"
"138","chats",1999,4,0,"chat"
"139","chatted",1999,4,0,"chat"
"140","chatting",1999,4,0,"chat"
"141","combine",1999,4,0,"combine"
"142","combined",1999,4,0,"combine"
"143","combines",1999,4,0,"combine"
"144","combining",1999,4,0,"combine"
"145","compete",1999,4,0,"compete"
"146","competed",1999,4,0,"compete"
"147","competes",1999,4,0,"compete"
"148","competing",1999,4,0,"compete"
"149","connect",1999,4,0,"connect"
"150","connected",1999,4,0,"connect"
"151","connecting",1999,4,0,"connect"
"152","connects",1999,4,0,"connect"
"153","cooperate",1999,4,0,"cooperate"
"154","cooperated",1999,4,0,"cooperate"
"155","cooperates",1999,4,0,"cooperate"
"156","cooperating",1999,4,0,"cooperate"
"157","crash",1999,4,0,"crash"
"158","crashed",1999,4,0,"crash"
"159","crashes",1999,4,0,"crash"
"160","crashing",1999,4,0,"crash"
"161","differ",1999,4,0,"differ"
"162","differed",1999,4,0,"differ"
"163","differing",1999,4,0,"differ"
"164","differs",1999,4,0,"differ"
"165","disagree",1999,4,0,"disagree"
"166","disagreed",1999,4,0,"disagree"
