"","stem","form"
"1","same","same"
"2","hug","hugs"
"3","hug","hugged"
"4","agree","agreeing"
"5","agree","agrees"
"6","friend","friend"
"7","friend","friends"
"8","friend","friended"
"9","connect","connects"
"10","connect","connecting"
"11","equal","equal"
"12","equal","equaling"
"13","equal","equaled"
"14","equal","equals"
"15","disagree","disagree"
"16","disagree","disagreed"
"17","disagree","disagreeing"
"18","similar","similar"
"19","trade","trading"
"20","trade","trades"
"21","trade","traded"
"22","match","matched"
"23","argue","argue"
"24","argue","argued"
"25","argue","argues"
"26","chat","chatting"
"27","chat","chats"
"28","chat","chatted"
"29","bump","bumps"
"30","combine","combine"
"31","combine","combining"
"32","combine","combines"
"33","combine","combined"
"34","compete","compete"
"35","compete","competing"
"36","compete","competes"
"37","compete","competed"
"38","differ","differ"
"39","differ","differed"
"40","differ","differs"
"41","differ","differing"
"42","separate","separates"
"43","separate","separating"
"44","split","splits"
"45","attach","attaching"
"46","attach","attaches"
"47","join","joins"
"48","join","joining"
"49","share","shares"
"50","cooperate","cooperate"
"51","cooperate","cooperated"
"52","cooperate","cooperating"
"53","cooperate","cooperates"
"54","crash","crashes"
"55","rhyme","rhyme"
"56","rhyme","rhymed"
"57","rhyme","rhyming"
