"","target_child_id","tokens","corpus_name"
"1",1754,14,"PetersonMcCabe"
"2",1999,7,"Hall"
"3",2006,5,"Hall"
"4",2007,20,"Hall"
"5",2020,10,"Hall"
"6",2040,20,"Hall"
"7",2053,4,"Hall"
"8",2065,5,"Hall"
"9",2077,3,"Hall"
"10",2091,21,"Hall"
"11",2108,5,"Hall"
"12",2112,2,"Hall"
"13",2127,19,"Hall"
"14",2130,4,"Hall"
"15",2141,15,"Hall"
"16",2172,10,"Hall"
"17",2187,2,"Hall"
"18",2202,15,"Hall"
"19",2234,6,"Hall"
"20",2249,2,"Hall"
"21",2264,11,"Hall"
"22",2279,3,"Hall"
"23",2291,6,"Hall"
"24",2302,6,"Hall"
"25",2315,5,"Hall"
"26",2316,7,"Hall"
"27",2317,1,"Hall"
"28",2319,13,"Hall"
"29",2328,2,"Hall"
"30",2377,6,"Hall"
"31",2399,15,"Hall"
"32",2400,14,"Hall"
"33",2402,6,"Hall"
"34",2405,12,"Hall"
"35",2481,2,"VanKleeck"
"36",2489,1,"VanKleeck"
"37",2529,6,"Gopnik"
"38",2543,24,"Kuczaj"
"39",2564,1,"Gleason"
"40",2575,4,"Gleason"
"41",2622,1,"Gleason"
"42",2643,1,"Gleason"
"43",2725,48,"HSLLD"
"44",3057,13,"Gelman"
"45",3330,30,"Brown"
"46",3351,57,"Brown"
"47",3395,2,"MacWhinney"
"48",3459,3,"Warren"
"49",3906,6,"Braunwald"
"50",3940,2,"Sachs"
"51",3978,5,"Weist"
"52",3985,4,"Weist"
"53",4001,15,"Weist"
"54",4011,5,"Weist"
"55",4019,7,"Weist"
"56",5503,1,"Bliss"
"57",22728,1,"Providence"
