"","target_child_id","stem","tokens"
"1",1754,"bump",5
"2",1754,"fight",4
"3",1754,"touch",2
"4",1999,"fight",2
"5",1999,"kiss",1
"6",1999,"meet",1
"7",1999,"touch",3
"8",2006,"touch",5
"9",2007,"bump",1
"10",2007,"fight",3
"11",2007,"kiss",1
"12",2007,"meet",2
"13",2007,"touch",12
"14",2007,"trade",1
"15",2020,"fight",1
"16",2020,"join",1
"17",2020,"match",1
"18",2020,"meet",1
"19",2020,"split",1
"20",2020,"touch",4
"21",2040,"fight",5
"22",2040,"kiss",4
"23",2040,"meet",1
"24",2040,"separate",1
"25",2040,"touch",9
"26",2053,"fight",1
"27",2053,"match",1
"28",2053,"separate",1
"29",2053,"split",2
"30",2053,"touch",1
"31",2065,"bump",1
"32",2065,"fight",2
"33",2065,"hug",2
"34",2077,"touch",3
"35",2091,"fight",2
"36",2091,"meet",1
"37",2091,"touch",3
"38",2108,"bump",1
"39",2108,"fight",2
"40",2108,"touch",3
"41",2112,"argue",1
"42",2112,"touch",2
"43",2127,"attach",1
"44",2127,"kiss",1
"45",2127,"marry",2
"46",2127,"touch",13
"47",2127,"trade",1
"48",2130,"fight",1
"49",2130,"meet",3
"50",2141,"attach",3
"51",2141,"kiss",4
"52",2141,"marry",2
"53",2141,"meet",2
"54",2141,"separate",1
"55",2141,"touch",2
"56",2172,"kiss",1
"57",2172,"marry",1
"58",2172,"touch",8
"59",2187,"touch",1
"60",2202,"attach",1
"61",2202,"bump",2
"62",2202,"fight",3
"63",2202,"kiss",2
"64",2202,"meet",1
"65",2202,"touch",4
"66",2234,"bump",1
"67",2234,"fight",1
"68",2234,"touch",5
"69",2249,"fight",2
"70",2264,"attach",1
"71",2264,"kiss",1
"72",2264,"separate",1
"73",2264,"touch",4
"74",2264,"trade",1
"75",2279,"bump",3
"76",2279,"connect",1
"77",2279,"meet",1
"78",2279,"touch",1
"79",2291,"bump",1
"80",2291,"fight",1
"81",2291,"kiss",2
"82",2291,"touch",2
"83",2302,"fight",2
"84",2302,"meet",1
"85",2302,"touch",1
"86",2315,"join",3
"87",2315,"kiss",1
"88",2316,"fight",2
"89",2316,"join",2
"90",2316,"touch",2
"91",2317,"bump",1
"92",2317,"touch",1
"93",2319,"fight",1
"94",2319,"marry",1
"95",2319,"touch",9
"96",2328,"touch",2
"97",2377,"attach",4
"98",2377,"touch",2
"99",2399,"attach",2
"100",2399,"fight",1
"101",2399,"match",3
"102",2399,"meet",2
"103",2399,"touch",6
"104",2400,"bump",1
"105",2400,"fight",3
"106",2400,"kiss",3
"107",2400,"match",1
"108",2400,"meet",3
"109",2400,"touch",4
"110",2402,"fight",1
"111",2402,"kiss",5
"112",2405,"fight",3
"113",2405,"meet",1
"114",2405,"touch",6
"115",2575,"touch",4
"116",2591,"bump",1
"117",2622,"touch",1
"118",2643,"meet",1
"119",3459,"hug",1
"120",3459,"meet",2
"121",4019,"fight",7
"122",5503,"match",1
