"","target_child_id","stem","tokens"
"1",1741,"agree",0
"2",1741,"attach",2
"3",1741,"connect",1
"4",1741,"cooperate",0
"5",1741,"crash",0
"6",1741,"fight",2
"7",1741,"hug",0
"8",1741,"join",0
"9",1741,"kiss",0
"10",1741,"marry",0
"11",1741,"match",0
"12",1741,"meet",1
"13",1741,"rhyme",0
"14",1741,"separate",0
"15",1741,"share",0
"16",1741,"touch",4
"17",1741,"trade",0
"18",2483,"agree",0
"19",2483,"attach",0
"20",2483,"connect",0
"21",2483,"cooperate",0
"22",2483,"crash",1
"23",2483,"fight",0
"24",2483,"hug",0
"25",2483,"join",0
"26",2483,"kiss",0
"27",2483,"marry",0
"28",2483,"match",0
"29",2483,"meet",0
"30",2483,"rhyme",0
"31",2483,"separate",0
"32",2483,"share",0
"33",2483,"touch",0
"34",2483,"trade",0
"35",2485,"agree",0
"36",2485,"attach",0
"37",2485,"connect",0
"38",2485,"cooperate",0
"39",2485,"crash",0
"40",2485,"fight",0
"41",2485,"hug",0
"42",2485,"join",0
"43",2485,"kiss",1
"44",2485,"marry",0
"45",2485,"match",1
"46",2485,"meet",0
"47",2485,"rhyme",0
"48",2485,"separate",0
"49",2485,"share",0
"50",2485,"touch",0
"51",2485,"trade",0
"52",2515,"agree",0
"53",2515,"attach",0
"54",2515,"connect",0
"55",2515,"cooperate",0
"56",2515,"crash",1
"57",2515,"fight",0
"58",2515,"hug",0
"59",2515,"join",0
"60",2515,"kiss",0
"61",2515,"marry",0
"62",2515,"match",0
"63",2515,"meet",0
"64",2515,"rhyme",0
"65",2515,"separate",0
"66",2515,"share",0
"67",2515,"touch",0
"68",2515,"trade",0
"69",2517,"agree",0
"70",2517,"attach",0
"71",2517,"connect",0
"72",2517,"cooperate",0
"73",2517,"crash",0
"74",2517,"fight",1
"75",2517,"hug",0
"76",2517,"join",0
"77",2517,"kiss",0
"78",2517,"marry",0
"79",2517,"match",0
"80",2517,"meet",0
"81",2517,"rhyme",0
"82",2517,"separate",0
"83",2517,"share",0
"84",2517,"touch",0
"85",2517,"trade",0
"86",2519,"agree",0
"87",2519,"attach",0
"88",2519,"connect",0
"89",2519,"cooperate",0
"90",2519,"crash",0
"91",2519,"fight",1
"92",2519,"hug",0
"93",2519,"join",0
"94",2519,"kiss",4
"95",2519,"marry",0
"96",2519,"match",2
"97",2519,"meet",3
"98",2519,"rhyme",0
"99",2519,"separate",0
"100",2519,"share",3
"101",2519,"touch",8
"102",2519,"trade",2
"103",2529,"agree",0
"104",2529,"attach",0
"105",2529,"connect",0
"106",2529,"cooperate",0
"107",2529,"crash",0
"108",2529,"fight",1
"109",2529,"hug",0
"110",2529,"join",0
"111",2529,"kiss",0
"112",2529,"marry",0
"113",2529,"match",0
"114",2529,"meet",0
"115",2529,"rhyme",0
"116",2529,"separate",0
"117",2529,"share",0
"118",2529,"touch",0
"119",2529,"trade",0
"120",2543,"agree",0
"121",2543,"attach",0
"122",2543,"connect",0
"123",2543,"cooperate",5
"124",2543,"crash",8
"125",2543,"fight",10
"126",2543,"hug",0
"127",2543,"join",1
"128",2543,"kiss",2
"129",2543,"marry",0
"130",2543,"match",0
"131",2543,"meet",1
"132",2543,"rhyme",4
"133",2543,"separate",0
"134",2543,"share",6
"135",2543,"touch",13
"136",2543,"trade",0
"137",2586,"agree",0
"138",2586,"attach",0
"139",2586,"connect",0
"140",2586,"cooperate",0
"141",2586,"crash",0
"142",2586,"fight",0
"143",2586,"hug",0
"144",2586,"join",0
"145",2586,"kiss",0
"146",2586,"marry",0
"147",2586,"match",0
"148",2586,"meet",0
"149",2586,"rhyme",0
"150",2586,"separate",0
"151",2586,"share",0
"152",2586,"touch",0
"153",2586,"trade",0
"154",2601,"agree",0
"155",2601,"attach",0
"156",2601,"connect",0
"157",2601,"cooperate",0
"158",2601,"crash",0
"159",2601,"fight",0
"160",2601,"hug",0
"161",2601,"join",0
"162",2601,"kiss",1
"163",2601,"marry",0
"164",2601,"match",0
"165",2601,"meet",0
"166",2601,"rhyme",0
"167",2601,"separate",0
"168",2601,"share",0
"169",2601,"touch",2
"170",2601,"trade",0
"171",2606,"agree",0
"172",2606,"attach",0
"173",2606,"connect",0
"174",2606,"cooperate",0
"175",2606,"crash",0
"176",2606,"fight",1
"177",2606,"hug",0
"178",2606,"join",0
"179",2606,"kiss",0
"180",2606,"marry",0
