"","form","count"
"1","arguing",1
"2","attach",4
"3","attached",1
"4","bump",23
"5","bumped",22
"6","bumping",1
"7","bumps",3
"8","connect",7
"9","connected",2
"10","connects",4
"11","cooperate",7
"12","crash",7
"13","crashed",27
"14","crashing",6
"15","fight",25
"16","fighting",9
"17","fought",3
"18","hug",3
"19","hugging",10
"20","join",4
"21","kiss",16
"22","kissed",9
"23","kisses",1
"24","kissing",12
"25","married",11
"26","marrying",2
"27","match",56
"28","matched",3
"29","matches",1
"30","meet",28
"31","meeting",1
"32","met",9
"33","rhymes",4
"34","separate",2
"35","share",28
"36","shared",3
"37","sharing",9
"38","split",2
"39","touch",69
"40","touched",9
"41","touching",6
"42","trade",3
