"","form","target_child_id","target_child_age","count","stem"
"1","agree",1741,3,0,"agree"
"2","agreed",1741,3,0,"agree"
"3","agreeing",1741,3,0,"agree"
"4","agrees",1741,3,0,"agree"
"5","argue",1741,3,0,"argue"
"6","argued",1741,3,0,"argue"
"7","argues",1741,3,0,"argue"
"8","arguing",1741,3,0,"argue"
"9","attach",1741,3,1,"attach"
"10","attach",1741,3,1,"attach"
"11","attached",1741,3,0,"attach"
"12","attaches",1741,3,0,"attach"
"13","attaching",1741,3,0,"attach"
"14","bump",1741,3,0,"bump"
"15","bumped",1741,3,0,"bump"
"16","bumping",1741,3,0,"bump"
"17","bumps",1741,3,0,"bump"
"18","chat",1741,3,0,"chat"
"19","chats",1741,3,0,"chat"
"20","chatted",1741,3,0,"chat"
"21","chatting",1741,3,0,"chat"
"22","combine",1741,3,0,"combine"
"23","combined",1741,3,0,"combine"
"24","combines",1741,3,0,"combine"
"25","combining",1741,3,0,"combine"
"26","compete",1741,3,0,"compete"
"27","competed",1741,3,0,"compete"
"28","competes",1741,3,0,"compete"
"29","competing",1741,3,0,"compete"
"30","connect",1741,3,1,"connect"
"31","connected",1741,3,0,"connect"
"32","connecting",1741,3,0,"connect"
"33","connects",1741,3,0,"connect"
"34","cooperate",1741,3,0,"cooperate"
"35","cooperated",1741,3,0,"cooperate"
"36","cooperates",1741,3,0,"cooperate"
"37","cooperating",1741,3,0,"cooperate"
"38","crash",1741,3,0,"crash"
"39","crashed",1741,3,0,"crash"
"40","crashes",1741,3,0,"crash"
"41","crashing",1741,3,0,"crash"
"42","differ",1741,3,0,"differ"
"43","differed",1741,3,0,"differ"
"44","differing",1741,3,0,"differ"
"45","differs",1741,3,0,"differ"
"46","disagree",1741,3,0,"disagree"
"47","disagreed",1741,3,0,"disagree"
"48","disagreeing",1741,3,0,"disagree"
"49","equal",1741,3,0,"equal"
"50","equaled",1741,3,0,"equal"
"51","equaling",1741,3,0,"equal"
"52","equals",1741,3,0,"equal"
"53","fight",1741,3,0,"fight"
"54","fighting",1741,3,0,"fight"
"55","fights",1741,3,0,"fight"
"56","fought",1741,3,1,"fight"
"57","fought",1741,3,1,"fight"
"58","friend",1741,3,0,"friend"
"59","friended",1741,3,0,"friend"
"60","friends",1741,3,0,"friend"
"61","hug",1741,3,0,"hug"
"62","hugged",1741,3,0,"hug"
"63","hugging",1741,3,0,"hug"
"64","hugs",1741,3,0,"hug"
"65","join",1741,3,0,"join"
"66","joined",1741,3,0,"join"
"67","joining",1741,3,0,"join"
"68","joins",1741,3,0,"join"
"69","kiss",1741,3,0,"kiss"
"70","kissed",1741,3,0,"kiss"
"71","kisses",1741,3,0,"kiss"
"72","kissing",1741,3,0,"kiss"
"73","married",1741,3,0,"marry"
"74","marries",1741,3,0,"marry"
"75","marry",1741,3,0,"marry"
"76","marrying",1741,3,0,"marry"
"77","match",1741,3,0,"match"
"78","matched",1741,3,0,"match"
"79","matches",1741,3,0,"match"
"80","matching",1741,3,0,"match"
"81","meet",1741,3,1,"meet"
"82","meeting",1741,3,0,"meet"
"83","meets",1741,3,0,"meet"
"84","met",1741,3,0,"meet"
"85","rhyme",1741,3,0,"rhyme"
"86","rhymed",1741,3,0,"rhyme"
"87","rhymes",1741,3,0,"rhyme"
"88","rhyming",1741,3,0,"rhyme"
"89","same",1741,3,0,"same"
"90","separate",1741,3,0,"separate"
"91","separated",1741,3,0,"separate"
"92","separates",1741,3,0,"separate"
"93","separating",1741,3,0,"separate"
"94","share",1741,3,0,"share"
"95","shared",1741,3,0,"share"
"96","shares",1741,3,0,"share"
"97","sharing",1741,3,0,"share"
"98","similar",1741,3,0,"similar"
"99","split",1741,3,0,"split"
"100","splits",1741,3,0,"split"
"101","splitting",1741,3,0,"split"
"102","touch",1741,3,1,"touch"
"103","touch",1741,3,1,"touch"
"104","touched",1741,3,0,"touch"
"105","touches",1741,3,0,"touch"
"106","touching",1741,3,1,"touch"
"107","touching",1741,3,1,"touch"
"108","trade",1741,3,0,"trade"
"109","traded",1741,3,0,"trade"
"110","trades",1741,3,0,"trade"
"111","trading",1741,3,0,"trade"
"112","agree",2483,3,0,"agree"
"113","agreed",2483,3,0,"agree"
"114","agreeing",2483,3,0,"agree"
"115","agrees",2483,3,0,"agree"
"116","argue",2483,3,0,"argue"
"117","argued",2483,3,0,"argue"
"118","argues",2483,3,0,"argue"
"119","arguing",2483,3,0,"argue"
"120","attach",2483,3,0,"attach"
"121","attached",2483,3,0,"attach"
"122","attaches",2483,3,0,"attach"
"123","attaching",2483,3,0,"attach"
"124","bump",2483,3,0,"bump"
"125","bumped",2483,3,0,"bump"
"126","bumping",2483,3,0,"bump"
"127","bumps",2483,3,0,"bump"
"128","chat",2483,3,0,"chat"
"129","chats",2483,3,0,"chat"
"130","chatted",2483,3,0,"chat"
"131","chatting",2483,3,0,"chat"
"132","combine",2483,3,0,"combine"
"133","combined",2483,3,0,"combine"
"134","combines",2483,3,0,"combine"
"135","combining",2483,3,0,"combine"
"136","compete",2483,3,0,"compete"
"137","competed",2483,3,0,"compete"
"138","competes",2483,3,0,"compete"
"139","competing",2483,3,0,"compete"
"140","connect",2483,3,0,"connect"
"141","connected",2483,3,0,"connect"
"142","connecting",2483,3,0,"connect"
"143","connects",2483,3,0,"connect"
"144","cooperate",2483,3,0,"cooperate"
"145","cooperated",2483,3,0,"cooperate"
"146","cooperates",2483,3,0,"cooperate"
"147","cooperating",2483,3,0,"cooperate"
"148","crash",2483,3,0,"crash"
"149","crashed",2483,3,1,"crash"
"150","crashes",2483,3,0,"crash"
"151","crashing",2483,3,0,"crash"
"152","differ",2483,3,0,"differ"
"153","differed",2483,3,0,"differ"
"154","differing",2483,3,0,"differ"
"155","differs",2483,3,0,"differ"
"156","disagree",2483,3,0,"disagree"
"157","disagreed",2483,3,0,"disagree"
"158","disagreeing",2483,3,0,"disagree"
"159","equal",2483,3,0,"equal"
"160","equaled",2483,3,0,"equal"
"161","equaling",2483,3,0,"equal"
"162","equals",2483,3,0,"equal"
"163","fight",2483,3,0,"fight"
"164","fighting",2483,3,0,"fight"
"165","fights",2483,3,0,"fight"
"166","fought",2483,3,0,"fight"
"167","friend",2483,3,0,"friend"
"168","friended",2483,3,0,"friend"
"169","friends",2483,3,0,"friend"
"170","hug",2483,3,0,"hug"
"171","hugged",2483,3,0,"hug"
"172","hugging",2483,3,0,"hug"
"173","hugs",2483,3,0,"hug"
"174","join",2483,3,0,"join"
"175","joined",2483,3,0,"join"
"176","joining",2483,3,0,"join"
"177","joins",2483,3,0,"join"
"178","kiss",2483,3,0,"kiss"
"179","kissed",2483,3,0,"kiss"
"180","kisses",2483,3,0,"kiss"
"181","kissing",2483,3,0,"kiss"
"182","married",2483,3,0,"marry"
"183","marries",2483,3,0,"marry"
"184","marry",2483,3,0,"marry"
"185","marrying",2483,3,0,"marry"
"186","match",2483,3,0,"match"
"187","matched",2483,3,0,"match"
"188","matches",2483,3,0,"match"
"189","matching",2483,3,0,"match"
"190","meet",2483,3,0,"meet"
"191","meeting",2483,3,0,"meet"
"192","meets",2483,3,0,"meet"
"193","met",2483,3,0,"meet"
"194","rhyme",2483,3,0,"rhyme"
"195","rhymed",2483,3,0,"rhyme"
"196","rhymes",2483,3,0,"rhyme"
"197","rhyming",2483,3,0,"rhyme"
"198","same",2483,3,0,"same"
"199","separate",2483,3,0,"separate"
"200","separated",2483,3,0,"separate"
"201","separates",2483,3,0,"separate"
"202","separating",2483,3,0,"separate"
"203","share",2483,3,0,"share"
"204","shared",2483,3,0,"share"
