"","target_child_id","tokens","corpus_name"
"1",1741,10,"Clark"
"2",2483,1,"VanKleeck"
"3",2485,2,"VanKleeck"
"4",2515,1,"VanKleeck"
"5",2517,1,"VanKleeck"
"6",2519,23,"Suppes"
"7",2529,1,"Gopnik"
"8",2543,50,"Kuczaj"
"9",2601,3,"Gleason"
"10",2606,1,"Gleason"
"11",2658,2,"Gleason"
"12",2725,13,"HSLLD"
"13",3057,1,"Gelman"
"14",3144,2,"Bloom"
"15",3330,49,"Brown"
"16",3351,12,"Brown"
"17",3395,16,"MacWhinney"
"18",3537,1,"VanHouten"
"19",3560,1,"VanHouten"
"20",3906,26,"Braunwald"
"21",3940,2,"Sachs"
"22",3978,5,"Weist"
"23",3985,5,"Weist"
"24",4001,9,"Weist"
"25",4011,21,"Weist"
"26",4031,1,"Morisset"
"27",5510,1,"Bliss"
"28",5525,10,"Demetras1"
"29",5547,4,"Bohannon"
"30",5564,12,"Snow"
"31",22695,2,"Davis"
"32",22704,52,"Providence"
"33",22728,23,"Providence"
"34",22743,14,"Providence"
"35",22755,14,"Providence"
"36",22764,10,"Providence"
