"","target_child_id","tokens","corpus_name"
"1",1741,10,"Clark"
"2",2485,2,"VanKleeck"
"3",2517,1,"VanKleeck"
"4",2519,20,"Suppes"
"5",2529,3,"Gopnik"
"6",2543,29,"Kuczaj"
"7",2586,1,"Gleason"
"8",2601,3,"Gleason"
"9",2606,1,"Gleason"
"10",2725,15,"HSLLD"
"11",3057,1,"Gelman"
"12",3144,1,"Bloom"
"13",3330,41,"Brown"
"14",3351,11,"Brown"
"15",3395,15,"MacWhinney"
"16",3560,2,"VanHouten"
"17",3564,1,"VanHouten"
"18",3906,17,"Braunwald"
"19",3940,2,"Sachs"
"20",3978,9,"Weist"
"21",3985,3,"Weist"
"22",4001,8,"Weist"
"23",4011,22,"Weist"
"24",5510,1,"Bliss"
"25",5525,12,"Demetras1"
"26",5547,3,"Bohannon"
"27",5564,18,"Snow"
"28",22695,2,"Davis"
"29",22704,51,"Providence"
"30",22728,20,"Providence"
"31",22743,17,"Providence"
"32",22755,14,"Providence"
"33",22764,6,"Providence"
