"","target_child_id","stem","tokens"
"1",1754,"fight",4
"2",1754,"touch",2
"3",1999,"fight",2
"4",1999,"kiss",1
"5",1999,"meet",1
"6",1999,"touch",3
"7",2006,"touch",5
"8",2007,"fight",3
"9",2007,"kiss",1
"10",2007,"meet",2
"11",2007,"touch",12
"12",2007,"trade",1
"13",2020,"fight",1
"14",2020,"join",1
"15",2020,"match",1
"16",2020,"meet",1
"17",2020,"touch",4
"18",2040,"fight",5
"19",2040,"kiss",4
"20",2040,"meet",1
"21",2040,"separate",1
"22",2040,"touch",9
"23",2053,"fight",1
"24",2053,"match",1
"25",2053,"separate",1
"26",2053,"touch",1
"27",2065,"fight",2
"28",2065,"hug",2
"29",2077,"touch",3
"30",2091,"fight",2
"31",2091,"meet",1
"32",2091,"touch",3
"33",2108,"fight",2
"34",2108,"touch",3
"35",2112,"touch",2
"36",2127,"attach",1
"37",2127,"kiss",1
"38",2127,"marry",2
"39",2127,"touch",13
"40",2127,"trade",1
"41",2130,"fight",1
"42",2130,"meet",3
"43",2141,"attach",3
"44",2141,"kiss",4
"45",2141,"marry",2
"46",2141,"meet",2
"47",2141,"separate",1
"48",2141,"touch",2
"49",2172,"kiss",1
"50",2172,"marry",1
"51",2172,"touch",8
"52",2187,"touch",1
"53",2202,"attach",1
"54",2202,"fight",3
"55",2202,"kiss",2
"56",2202,"meet",1
"57",2202,"touch",4
"58",2234,"fight",1
"59",2234,"touch",5
"60",2249,"fight",2
"61",2264,"attach",1
"62",2264,"kiss",1
"63",2264,"separate",1
"64",2264,"touch",4
"65",2264,"trade",1
"66",2279,"connect",1
"67",2279,"meet",1
"68",2279,"touch",1
"69",2291,"fight",1
"70",2291,"kiss",2
"71",2291,"touch",2
"72",2302,"fight",2
"73",2302,"meet",1
"74",2302,"touch",1
"75",2315,"join",3
"76",2315,"kiss",1
"77",2316,"fight",2
"78",2316,"join",2
"79",2316,"touch",2
"80",2317,"touch",1
"81",2319,"fight",1
"82",2319,"marry",1
"83",2319,"touch",9
"84",2328,"touch",2
"85",2377,"attach",4
"86",2377,"touch",2
"87",2399,"attach",2
"88",2399,"fight",1
"89",2399,"match",3
"90",2399,"meet",2
"91",2399,"touch",6
"92",2400,"fight",3
"93",2400,"kiss",3
"94",2400,"match",1
"95",2400,"meet",3
"96",2400,"touch",4
"97",2402,"fight",1
"98",2402,"kiss",5
"99",2405,"fight",3
"100",2405,"meet",1
"101",2405,"touch",6
"102",2529,"touch",5
"103",2543,"attach",1
"104",2543,"fight",3
"105",2543,"hug",3
"106",2543,"meet",1
"107",2543,"touch",12
"108",2575,"touch",4
"109",2622,"touch",1
"110",2643,"meet",1
"111",2725,"attach",3
"112",2725,"connect",1
"113",2725,"fight",8
"114",2725,"hug",2
"115",2725,"kiss",5
"116",2725,"marry",1
"117",2725,"match",5
"118",2725,"meet",6
"119",2725,"touch",6
"120",3057,"hug",1
"121",3057,"match",9
"122",3057,"touch",3
"123",3330,"fight",5
"124",3330,"kiss",1
"125",3330,"marry",7
"126",3330,"match",1
"127",3330,"meet",2
"128",3330,"touch",5
"129",3351,"connect",2
"130",3351,"fight",10
"131",3351,"kiss",7
"132",3351,"marry",18
"133",3351,"match",3
"134",3351,"meet",1
"135",3351,"touch",16
"136",3395,"marry",1
"137",3459,"hug",1
"138",3459,"meet",2
"139",3906,"attach",1
"140",3906,"hug",1
"141",3906,"kiss",1
"142",3906,"marry",1
"143",3906,"meet",1
"144",3940,"kiss",1
"145",3940,"touch",1
"146",3978,"hug",1
"147",3978,"join",1
"148",3978,"kiss",1
"149",3978,"touch",2
"150",3985,"attach",2
"151",3985,"meet",1
"152",3985,"touch",1
"153",4001,"connect",4
"154",4001,"fight",1
"155",4001,"marry",1
"156",4001,"meet",1
"157",4001,"separate",1
"158",4001,"touch",3
"159",4001,"trade",2
"160",4011,"kiss",2
"161",4011,"match",2
"162",4011,"meet",1
"163",4019,"fight",7
"164",5503,"match",1
"165",22728,"marry",1
